"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"SCAND ST","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","28","3.753","78.6","7.1","3.6","10.7",".",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","22","3.601","68.2","13.6","13.6",".",".","4.5","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","64","3.758","75.0","4.7","9.4","4.7","1.6",".","",".","1.6","",".",".","",".","",".","3.1",".",".","."
"Undergraduates","","119","3.705","73.9","6.7","8.4","6.7","0.8","0.8","",".","0.8","",".",".","",".","",".","1.7",".",".","."
"Special","","8","3.750","12.5","12.5",".",".",".",".","",".","75.0","",".",".","",".","",".",".",".",".","."
"Graduate","","22","3.927","50.0",".","4.5",".",".",".","",".","45.5","",".",".","",".","",".",".",".",".","."
"","Dept. Total","149","3.728","67.1","6.0","7.4","5.4","0.7","0.7","",".","11.4","",".",".","",".","",".","1.3",".",".","."
