"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"407","003","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","32","3.575","43.8","37.5","9.4","6.3",".",".",".",".",".",".",".",".","3.1",".",".","."
"Thermal Physics
415","001","","34","3.382","20.6","44.1","26.5","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics
449","001","","35","3.286","34.3","8.6","45.7","2.9","8.6",".",".",".",".",".",".",".",".",".",".","."
"499","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","193","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","194","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Introduction to Plasmas
525","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Plasma Confinement&Heating
527","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Quantum Mechanics
531","001","","24","2.795","25.0","8.3","33.3","4.2","8.3",".","12.5","4.2",".",".",".",".","4.2",".",".","."
"Intro-Particle Physics
535","001","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Solid State Physics
551","001","","16","3.400","18.8","37.5","37.5",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Electronic Aids to Measmnt
623","001","","17","3.406","35.3","23.5","23.5","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"682","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","180","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis
692","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Mechanics
715","001","","40","3.538","50.0","20.0","25.0",".",".",".","2.5",".",".",".",".",".",".",".","2.5","."
"Theor Physics-Electrodynmcs
721","001","","12","3.167","16.7","25.0","41.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics
726","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantum Mechanics
732","001","","49","3.469","26.5","40.8","32.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Computing
779","001","","28","3.804","64.3","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.953","84.6","7.7",".",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"Special Topics in Physics
805","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Mechanics
832","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium
900","001","","18","3.833","94.4",".",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Seminar in Plasma Physics
922","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 317 of 476",""
