"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Genetics in the News
133","002","","206","3.782","75.7","14.6","4.9","1.5","1.0","0.5","1.0",".",".",".",".",".",".",".","1.0","."
"299","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"299","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","127","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","143","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"299","144","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","147","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
375","001","","17","3.735","88.2",".",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Genetics
466","001","","204","2.800","24.0","12.3","20.6","11.8","19.1","10.3","1.5","0.5",".",".",".",".",".",".",".","."
"General Genetics 2
468","001","","94","3.591","59.6","20.2","8.5","5.3","3.2","1.1","1.1",".",".",".",".",".",".",".","1.1","."
"Advanced Laboratory Procedures
471","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurogenetics
520","001","","58","3.534","46.6","31.0","12.1","6.9","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"522","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"522","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","","21","3.945","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Gen for Conserv Regen
527","001","","30","3.850","80.0","16.7",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Genetics Laboratory
545","001","","14","3.786","78.6","7.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Genomic Revolution
548","001","","16","2.750","25.0",".","43.8",".","12.5","18.8",".",".",".",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt
550","001","","10","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics & Proteomics
564","001","","15","3.533","73.3","6.7","6.7","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Advanced Genetics
566","001","","35","3.929","88.6","8.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Central Nervous System
568","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Breast
569","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 25 of 476"
