"ASIAN LANGUAGES AND CULTU Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"185
ASIAN","","","","","","","","","","","","","","","","","","","",""
"Asia Enchanted","236","001","94","3.668","56.4","30.9","5.3","2.1","1.1","2.1",".",".",".",".",".",".",".",".","2.1","."
"SE Asian Refugees of Cold War","246","001","13","3.667","84.6",".",".",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"Japanese Popular Culture","253","001","50","3.520","70.0","8.0","10.0","4.0","2.0",".","6.0",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","19","3.194","26.3","10.5","31.6","26.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Tibetan Cultures & Traditions","268","001","57","3.991","96.5","1.8",".",".",".",".",".",".",".",".",".",".",".",".","1.8","."
"Topics in Asian Studies","300","001","29","3.621","48.3","37.9","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Social Studies Topics in EAS","301","001","21","3.667","52.4","28.6","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hinduism","306","001","16","3.615","37.5","31.3","6.3","6.3",".",".",".","18.8",".",".",".",".",".",".",".","."
"Introduction to Buddhism","308","001","36","3.765","63.9","22.2","5.6",".","2.8",".",".",".",".",".",".",".","5.6",".",".","."
"Peoples Replc China 1949 on","342","001","10","3.350","40.0","30.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Survey of Modern Chinese Lit","352","001","61","3.648","60.7","23.0","9.8","4.9",".",".","1.6",".",".",".",".",".",".",".",".","."
"Language in Japanese Society","358","001","26","3.615","57.7","34.6",".","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"Love and Politics: Genji","361","001","25","3.773","68.0","4.0","12.0","4.0",".",".",".",".",".",".",".",".",".","12.0",".","."
"Topics-Chinese Literature","371","001","339","3.886","87.6","8.0","2.7",".","0.9","0.6","0.3",".",".",".",".",".",".",".",".","."
"Southeast Asian Literature","403","001","53","3.972","96.2","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gods and Goddesses of South As","405","001","12","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"Intro to Chinese Linguistics","432","001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-E Asian Visual Cultures","433","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The History of Yoga","460","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdgs Modern Japanese Lit","563","001","9","3.813","66.7","11.1","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Rdgs-Classical Japanese Lit","573","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630","002","15","3.929","80.0","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Proseminar: Cultures of Asia","","Course Total","28","3.963","89.3","7.1",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"Studies in Chinese Linguistics","632","002","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Chinese Lit II","642","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Buddhist Thought","650","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.966","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Japanese Applied Linguistics","775","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
