"ACCOUNTING AND INFO SYSTE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","",""
"","302
001","12","3.545","41.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","302
002","31","3.306","32.3","19.4","29.0","16.1","3.2",".",".",".",".",".",".",".",".",".",".","."
"","302
003","30","3.200","23.3","13.3","53.3","6.7",".","3.3",".",".",".",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","73","3.299","30.1","17.8","37.0","11.0","1.4","1.4",".",".",".",".",".",".","1.4",".",".","."
"","310
001","25","3.360","32.0","16.0","44.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","24","3.438","37.5","25.0","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","310
003","27","3.222","29.6","18.5","18.5","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Management Systems","Course Total","76","3.336","32.9","19.7","28.9","18.4",".",".",".",".",".",".",".",".",".",".",".","."
"","329
001","50","3.620","46.0","34.0","18.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","329
002","55","3.545","43.6","29.1","23.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Taxatn:Bus & Persnl Planng","Course Total","105","3.581","44.8","31.4","21.0","1.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"","406
001","22","3.068","18.2","9.1","54.5","4.5","13.6",".",".",".",".",".",".",".",".",".",".","."
"","406
002","19","3.421","31.6","21.1","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Financial Reporting","Course Total","41","3.232","24.4","14.6","51.2","2.4","7.3",".",".",".",".",".",".",".",".",".",".","."
"Acct Internshp & Prac Rsch","600
001","54","3.949","88.9","7.4","1.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Pro Prac Iss-Acct, Audit & Tax","601
001","53","3.698","52.8","34.0","13.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","34","3.324","17.6","44.1","26.5","8.8","2.9",".",".",".",".",".",".",".",".",".",".","."
"","620
002","39","3.269","17.9","41.0","28.2","2.6","10.3",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Taxation","Course Total","73","3.295","17.8","42.5","27.4","5.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"","621
001","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","621
002","19","3.342","36.8","15.8","36.8",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Corporate & Advanced Taxation","Course Total","27","3.333","33.3","18.5","37.0","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"","630
001","29","3.741","72.4","13.8","3.4","10.3",".",".",".",".",".",".",".",".",".",".",".","."
"","630
002","21","3.548","47.6","28.6","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Audit and Assurance Services","Course Total","50","3.660","62.0","20.0","6.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundation-Accting Analytics","Course Total","42","3.929","88.1","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Reporting I","701
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","702
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Financial Reporting II","Course Total","3","***","","","","","","","","","","","","","","","",""
"","706
001","13","3.269","23.1","15.4","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","706
002","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Financial Reporting","Course Total","19","3.368","31.6","15.8","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Taxatn/Cross-Juris Transactns","725
001","18","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Corporate Taxation","726
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","37","3.838","70.3","27.0","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
002","34","3.897","85.3","8.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assurance Services","Course Total","71","3.866","77.5","18.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
