"SOIL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"908
SOIL SCI","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment
101","001","","47","3.804","85.1","2.1","4.3","2.1","2.1","2.1",".","2.1",".",".",".",".",".",".",".","."
"Earth's Soil
131","001","","51","3.353","23.5","33.3","33.3","9.8",".",".",".",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use
132","001","","24","3.935","83.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Soil: Ecosystem & Resource
230","001","","61","2.792","27.9","11.5","9.8","19.7","16.4","11.5","1.6",".",".",".",".",".","1.6",".",".","."
"299","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Plant Nutrition Management
326","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"HAZWOPER 40HR/Field Safety
330","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Microbiology & Biochem
523","001","","18","3.500","50.0","22.2","11.1",".",".",".","5.6","11.1",".",".",".",".",".",".",".","."
"Assessment-Environ Impact
575","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"R for Soil & Environmental Sci
585","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Toxicants in the Environmnt
631","001","","8","3.313","12.5","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis
681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs
695","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems
699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar
728","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Soil Science Teaching","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Special Topics
875","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","25","",".",".",".",".",".",".",".","76.0",".",".",".","24.0",".",".",".","."
