"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"","200
001","188","3.247","38.3","20.7","20.2","8.5","7.4","2.1","2.7",".",".",".",".",".",".",".",".","."
"","200
002","183","3.236","41.0","16.9","19.7","8.2","7.7","3.8","2.2",".",".",".",".",".","0.5",".",".","."
"","200
003","38","3.329","36.8","23.7","18.4","5.3","2.6","2.6","2.6",".",".",".",".",".",".","5.3","2.6","."
"Programming I","Course Total","409","3.249","39.4","19.3","19.8","8.1","7.1","2.9","2.4",".",".",".",".",".","0.2","0.5","0.2","."
"Introduction to Computation","202
001","23","3.739","69.6","17.4","4.3","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"","220
001","179","3.531","44.7","28.5","21.8","1.7",".","1.1","1.1","0.6",".",".",".",".","0.6",".",".","."
"","220
002","186","3.409","40.9","26.9","22.0","3.2","3.2","2.7","1.1",".",".",".",".",".",".",".",".","."
"","220
003","183","3.346","32.8","26.2","30.1","4.4","3.3","2.2","0.5","0.5",".",".",".",".",".",".",".","."
"","220
004","187","3.238","29.9","23.5","30.5","9.1","2.7","2.1","2.1",".",".",".",".",".",".",".",".","."
"Data Sci Programming I","Course Total","735","3.379","37.0","26.3","26.1","4.6","2.3","2.0","1.2","0.3",".",".",".",".","0.1",".",".","."
"","240
001","208","2.981","25.5","15.9","30.8","6.3","12.5","7.7","1.4",".",".",".",".",".",".",".",".","."
"","240
002","198","3.095","30.8","16.7","26.8","4.0","15.2","2.5","2.5",".",".",".",".",".","1.5",".",".","."
"Intro to Discrete Mathematics","Course Total","406","3.036","28.1","16.3","28.8","5.2","13.8","5.2","2.0",".",".",".",".",".","0.7",".",".","."
"","252
002","255","3.433","52.5","12.9","18.4","4.7","9.0",".","1.6",".",".",".",".",".","0.8",".",".","."
"","252
004","237","3.388","48.1","17.7","14.3","9.7","7.2","1.3","1.3",".",".",".",".",".","0.4",".",".","."
"Intro to Computer Engineering","Course Total","492","3.411","50.4","15.2","16.5","7.1","8.1","0.6","1.4",".",".",".",".",".","0.6",".",".","."
"","298
112","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","298
168","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Comp Sci","Course Total","3","***","","","","","","","","","","","","","","","",""
"","300
001","207","3.517","39.1","33.8","21.7","3.9","1.0",".","0.5",".",".",".",".",".",".",".",".","."
"","300
002","207","3.488","44.0","28.5","20.3","2.9","1.4","0.5","1.9",".",".",".",".",".","0.5",".",".","."
"","300
003","202","3.318","29.2","36.1","21.3","6.4","2.0","3.0","1.5","0.5",".",".",".",".",".",".",".","."
"","300
004","215","3.444","38.6","30.7","21.4","4.2","1.9","0.9","1.4",".",".",".",".",".","0.9",".",".","."
"Programming II","Course Total","831","3.443","37.8","32.3","21.2","4.3","1.6","1.1","1.3","0.1",".",".",".",".","0.4",".",".","."
"","304
001","9","3.750","77.8",".",".",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"","304
002","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
005","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","304
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","304
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"WES-CS Group Meeting","Course Total","36","3.814","86.1","2.8","2.8",".","2.8","2.8","2.8",".",".",".",".",".",".",".",".","."
"","319
001","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","319
004","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Sci Prgmg I - Research","Course Total","28","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","179","3.304","29.1","29.6","26.8","7.8","1.7","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"","320
002","181","3.312","30.4","27.6","29.8","6.1","3.3","1.7","1.1",".",".",".",".",".",".",".",".","."
"Data Sci Programming II","Course Total","360","3.308","29.7","28.6","28.3","6.9","2.5","1.7","1.4","0.8",".",".",".",".",".",".",".","."
"","352
001","12","3.417","41.7","25.0","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","352
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 220 of 476",""
