"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","173","3.892","89.0","5.2","1.2","2.3","0.6",".","0.6","1.2",".",".",".",".",".",".",".","."
"Consuming Happiness","173
001","117","3.671","66.7","14.5","9.4","5.1","4.3",".",".",".",".",".",".",".",".",".",".","."
"","201
001","36","3.833","83.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
003","113","3.667","61.1","22.1","6.2","6.2","1.8","0.9",".",".",".",".",".",".","1.8",".",".","."
"","201
103","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Insights","Course Total","155","3.706","66.5","18.1","5.8","6.5","1.3","0.6",".",".",".",".",".",".","1.3",".",".","."
"","250
003","141","3.706","65.2","17.7","10.6","5.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"","250
103","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Leadership Symposium","Course Total","148","3.720","66.9","16.9","10.1","5.4","0.7",".",".",".",".",".",".",".",".",".",".","."
"","251
003","123","3.766","76.4","8.9","10.6","1.6",".","0.8","0.8",".",".",".",".",".",".",".","0.8","."
"","251
103","13","3.269","69.2","7.7","7.7",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","Course Total","136","3.719","75.7","8.8","10.3","1.5",".","0.7","2.2",".",".",".",".",".",".",".","0.7","."
"Cons Fin Svcs Innovation","255
001","44","3.273","27.3","29.5","29.5","6.8","4.5",".","2.3",".",".",".",".",".",".",".",".","."
"Introduction to Retail","257
001","122","3.844","80.3","15.6","0.8","0.8","1.6","0.8",".",".",".",".",".",".",".",".",".","."
"","275
001","84","3.506","33.3","41.7","20.2","2.4","2.4",".",".",".",".",".",".",".",".",".",".","."
"","275
003","94","3.803","71.3","22.3","4.3",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"","275
004","79","3.595","49.4","31.6","8.9","8.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"","275
005","91","3.181","15.4","31.9","36.3","11.0","4.4",".","1.1",".",".",".",".",".",".",".",".","."
"","275
104","7","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Finance","Course Total","355","3.524","42.8","31.5","17.2","5.6","2.5",".","0.3",".",".",".",".",".",".",".",".","."
"","301
001","14","3.571","42.9","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","301
002","40","3.538","40.0","40.0","15.0","2.5",".","2.5",".",".",".",".",".",".",".",".",".","."
"Consumer Analytics","Course Total","54","3.546","40.7","40.7","13.0","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Finc'l Life Skills After Grad","321
001","193","3.906","89.6","5.7","1.6","0.5","0.5","1.0",".","1.0",".",".",".",".",".",".",".","."
"Financial Coaching","355
001","58","3.535","43.1","29.3","17.2","6.9","1.7",".",".",".",".",".",".",".","1.7",".",".","."
"","477
001","44","3.705","59.1","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","45","3.500","33.3","44.4","17.8","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","Course Total","89","3.601","46.1","36.0","13.5","3.4",".","1.1",".",".",".",".",".",".",".",".",".","."
"","501
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
001","45","3.800","62.2","35.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555
002","80","3.731","61.3","26.3","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","555
003","44","3.239","36.4","25.0","18.2","4.5","9.1","6.8",".",".",".",".",".",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","169","3.621","55.0","28.4","10.1","2.4","2.4","1.8",".",".",".",".",".",".",".",".",".","."
"Consumer Engagement Strategies","561
001","52","3.798","71.2","19.2","7.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","562
001","57","3.667","47.4","40.4","10.5","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","562
002","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Global Consumer","Course Total","76","3.704","52.6","36.8","9.2","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","564
001","47","3.298","38.3","29.8","8.5","12.8","4.3","6.4",".",".",".",".",".",".",".",".",".","."
"","564
002","34","2.985","26.5","17.6","20.6","14.7","11.8","8.8",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 163 of 476",""
