"BIOLOGICAL SYSTEMS ENGINE Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Special Problems","3","***","","","","","","","","","","","","","","","","","","",""
"Dept. Total
112
BSE","464","3.454","50.4","14.9","13.6","4.3","5.4","0.6","0.2","6.9","",".",".","",".","3.0","",".","0.4","0.2","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","23","3.429","65.2","8.7","13.0","4.3","8.7",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","60","3.411","60.0","8.3","15.0","6.7","10.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","270","3.413","49.3","19.3","17.8","5.2","6.3","1.1","0.4",".","",".",".","",".",".","",".","0.7",".","."
"Undergraduates","355","3.415","52.1","16.9","16.9","5.4","7.0","0.8","0.3",".","",".",".","",".",".","",".","0.6",".","."
"Special","14","3.875","21.4","7.1",".",".",".",".",".","64.3","",".",".","",".",".","",".",".","7.1","."
"Graduate","95","3.755","48.4","8.4","3.2","1.1",".",".",".","24.2","",".",".","",".","14.7","",".",".",".","."
"Dept. Total","464","3.454","50.4","14.9","13.6","4.3","5.4","0.6","0.2","6.9","",".",".","",".","3.0","",".","0.4","0.2","."
