"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Transport Phenom-Materials
331","001","","35","2.971","20.0","25.7","28.6","8.6","8.6","2.9","5.7",".",".",".",".",".",".",".",".","."
"Microprocessing-Materials
333","001","","45","3.122","17.8","28.9","31.1","17.8",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"350","001","","104","3.279","26.0","28.8","30.8","7.7","5.8",".","1.0",".",".",".",".",".",".",".",".","."
"350","002","","95","3.142","20.0","32.6","28.4","8.4","5.3","3.2","2.1",".",".",".",".",".",".",".",".","."
"Intro to Materials Science","Course Total","","199","3.214","23.1","30.7","29.6","8.0","5.5","1.5","1.5",".",".",".",".",".",".",".",".","."
"Transformation of Solids
352","001","","27","3.019","11.1","22.2","40.7","18.5","3.7","3.7",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory II
361","001","","21","3.524","47.6","33.3","4.8","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"401","001","","18","3.441","22.2","38.9","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"401","002","","33","3.984","93.9","3.0",".",".",".",".",".",".",".",".",".",".",".","3.0",".","."
"Special Topics in Mat Sci&Engr","Course Total","","51","3.739","68.6","15.7","11.8",".",".",".",".","2.0",".",".",".",".",".","2.0",".","."
"Deformation of Solids
441","001","","39","3.705","82.1","7.7","5.1",".",".",".","5.1",".",".",".",".",".",".",".",".","."
"Intro Comp Mat Sci and Eng
460","001","","60","3.712","61.7","28.3","5.0","1.7",".",".","1.7",".",".",".",".",".","1.7",".",".","."
"Capstone Project II
471","001","","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Polymeric Materials
521","001","","24","3.864","66.7","25.0",".",".",".",".",".",".",".",".",".",".","4.2",".","4.2","."
"Structure of Materials
551","001","","20","3.675","60.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Nanomaterials & Nanotechnology
553","001","","22","3.295","18.2","22.7","59.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mesoscale Modeling of Material
660","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","3.776","81.3","12.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Matls Sci-Phase Transfm
752","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 153 of 476",""
