"LEGAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"535
LEGAL ST","","","","","","","","","","","","","","","","","","",""
"","131
001","55","3.527","41.8","34.5","12.7","9.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"","131
002","98","3.179","27.6","29.6","22.4","10.2","3.1","5.1","2.0",".",".",".",".",".",".",".",".","."
"Criminal Justice in America","Course Total","153","3.304","32.7","31.4","19.0","9.8","2.6","3.3","1.3",".",".",".",".",".",".",".",".","."
"","217
001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","217
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Politics and Society","Course Total","19","3.868","84.2","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262
001","46","2.988","4.3","28.3","30.4","17.4","10.9",".",".","8.7",".",".",".",".",".",".",".","."
"","400
031","100","3.379","26.0","34.0","28.0","11.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"","400
033","25","3.545","32.0","32.0","24.0",".",".",".",".",".",".",".",".",".","8.0","4.0",".","."
"Topics: Legal Studies&Soc Sci","Course Total","125","3.409","27.2","33.6","27.2","8.8",".",".",".","0.8",".",".",".",".","1.6","0.8",".","."
"Human Rights in Law & Society","409
001","70","3.712","64.3","18.6","7.1","1.4","1.4",".","1.4",".",".",".",".",".","5.7",".",".","."
"Crime, Gender and Justice","425
001","44","3.558","45.5","27.3","20.5",".","4.5",".",".",".",".",".",".",".","2.3",".",".","."
"Law and Environment","430
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443
001","43","3.535","48.8","27.9","9.3","9.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Law in Action","444
001","68","3.915","79.4","16.2",".",".",".",".",".",".",".",".",".",".","2.9","1.5",".","."
"Topic:Legal Studies&Humanities","450
029","81","3.544","61.7","14.8","11.1","1.2","6.2","2.5","1.2",".",".",".",".",".","1.2",".",".","."
"Health and Social Needs","473
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Introduction to Cyberlaw","663
003","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"Senior Thesis","692
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","694
001","30","3.867","83.3","10.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","694
002","28","3.821","89.3",".","7.1",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Crimnl Justice Fld Observtn","Course Total","58","3.845","86.2","5.2","5.2","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
