"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Sickle cell disease","Course Total","","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pathol:Cl Microbiol-Marshfl
926","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Laboratory Genetics
949","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"950","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"950","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"950","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Infectious Disease Detectives","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"960","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathology for Surgeons","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Molec Basis of Heme Malignanc
962","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Women-Global Health -CA, Pub H
963","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Omics Data Analysis
970","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","107","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","116","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","125","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","128","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","137","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","140","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","144","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","146","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","147","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","148","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 422 of 476",""
