"HORTICULTURE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","",""
"Propagation of Hort Plants
227","001","","19","2.421","5.3","5.3","21.1","26.3","31.6","10.5",".",".",".",".",".",".",".",".",".","."
"The Science of Cannabis
240","001","","41","3.939","90.2","7.3","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study
299","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Nutrition Management
326","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wines and Vines
330","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greenhouse Cultivation
334","001","","51","3.606","64.7","9.8","7.8","3.9","2.0","2.0","2.0","5.9",".",".",".",".","2.0",".",".","."
"335","001","","18","3.529","83.3",".",".",".",".",".","11.1",".",".",".",".",".","5.6",".",".","."
"335","002","","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Greenhouse Cultivation Lab","Course Total","","38","3.743","86.8","2.6","2.6",".",".",".","5.3",".",".",".",".",".","2.6",".",".","."
"Plant Breeding&Biotechnolgy
338","001","","7","3.143","14.3","14.3","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"GM Crops:Sci,Reg,Controversy
360","001","","16","3.467","37.5","25.0","25.0",".","6.3",".",".","6.3",".",".",".",".",".",".",".","."
"Intro to Organic Agriculture
367","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium-Organic Agriculture
372","001","","19","3.889","78.9","10.5","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Molec Approach-Crop Improvt
550","001","","8","3.929","75.0","12.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II
572","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Genetic Mapping
615","001","","13","3.889","53.8","15.4",".",".",".",".",".","23.1",".",".",".",".",".",".","7.7","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract-Horticulture Teaching
799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar
910","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Breeding
957","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","37","",".",".",".",".",".",".",".","45.9","2.7",".",".","51.4",".",".",".","."
