"EGR","","","","","","","","","","","","","","","","","","","",""
"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","",""
"","418
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","","16","3.813","75.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","418
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sust Energy Challengs & Solutn","Course Total","","25","3.840","76.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Research Proposal-Engr Physics","469
001","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Intermed Problem Solving-Engrs","471
001","","12","2.917","25.0","8.3","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II","548
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics I","568
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Pract-Engr Physics II","569
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"347
E P","Dept. Total","","51","3.443","60.8","15.7","9.8","7.8","2.0","2.0",".",".",".",".",".",".","2.0",".",".","."
