"CIVIL AND ENVIRONMENTAL EN Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Architectural Theory","150","001","","11","3.273","54.5",".","27.3",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Architectural Making I","151","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Prob Solv Using Cmptr Tools","291","001","","53","3.283","20.8","43.4","18.9","9.4","5.7","1.9",".",".",".",".",".",".",".",".",".","."
"Fluid Mechanics","310","001","","26","3.135","26.9","11.5","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hydroscience","311","001","","55","2.936","14.5","20.0","30.9","18.2","12.7","1.8","1.8",".",".",".",".",".",".",".",".","."
"Environmental Engineering","320","002","","59","3.331","32.2","15.3","45.8","3.4","1.7","1.7",".",".",".",".",".",".",".",".",".","."
"Environmental Engr Materials","325","001","","22","3.614","45.5","31.8","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soil Mechanics","330","001","","29","2.810","24.1","6.9","24.1","17.2","20.7","3.4","3.4",".",".",".",".",".",".",".",".","."
"Structural Analysis I","340","001","","44","3.557","47.7","25.0","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Frank Lloyd Wright - Design","352","001","","14","3.167","35.7","7.1","7.1","21.4","14.3",".",".",".",".",".",".",".","7.1",".","7.1","."
"Transportation Engineering","370","001","","39","3.231","33.3","12.8","30.8","12.8","10.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Information Modeling","392","001","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities","395","001","","34","3.824","67.6","29.4","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hydraulic Engineering","410","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Air Pollutn Measurmnt&Cntrl","423","001","","39","3.237","12.8","35.9","38.5","5.1","5.1",".",".",".",".",".",".",".",".",".","2.6","."
"","428","001","","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Water Treatmnt Plant Design","","Course Total","","40","3.938","92.5","2.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Slope Stab and Earth Ret","430","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intr Shallow & Deep Fndtn Syst","432","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Underground Openings","434","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract Appl of GPS Surveying","444","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Concrete Structures I","447","001","","31","3.339","35.5","22.6","25.8","12.9",".","3.2",".",".",".",".",".",".",".",".",".","."
"Rock Mechanics","474","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Project Estimatng&Schedulng","492","001","","23","3.826","73.9","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civ&Envr Engr Decisn Making","494","001","","46","3.348","39.1","19.6","30.4","2.2","6.5",".","2.2",".",".",".",".",".",".",".",".","."
"Sustainable Building and Mater","495","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elec Systems for Construction","496","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Constructn Project Managmnt","498","001","","56","3.545","48.2","30.4","12.5","1.8","3.6",".","1.8","1.8",".",".",".",".",".",".",".","."
"Composite Materials","508","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","522","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","002","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hazardous Waste Management","","Course Total","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Steel Structures II","545","001","","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
