"FOREST AND WILDLIFE ECOLO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"299","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","3.733","71.4",".","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Biometry
300","001","","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Operations
305","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Terr Vertbrt:Life Hist&Ecol
306","001","","55","3.208","36.4","14.5","20.0","7.3","16.4","1.8",".","1.8",".",".",".",".",".","1.8",".","."
"Hum/An Relatn:Bio&Phils Iss
335","001","","28","3.089","28.6","28.6","21.4","3.6","10.7",".","7.1",".",".",".",".",".",".",".",".","."
"375","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"375","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"375","005","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","011","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","49","3.967","95.9",".","2.0",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Princ-Wildlife Management
379","001","","31","3.371","51.6","12.9","9.7","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Principles of Silviculture
410","001","","22","3.455","40.9","27.3","22.7",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Practices of Silviculture
411","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology
460","001","","14","3.107",".","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ornithology
520","001","","35","3.257","31.4","22.9","31.4","5.7","2.9","5.7",".",".",".",".",".",".",".",".",".","."
"521","001","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"521","002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","003","","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"521","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","29","3.776","79.3","3.4","13.8",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Stat Meth for Bioscience II
572","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Decisn Meth-Nat Resrc Mangr
652","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Animal Population Dynamics
655","001","","24","3.543","33.3","41.7","16.7","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"675","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".",".","3.3",".","."
"675","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","Course Total","","44","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"682","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis
691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 22 of 476"
