"","999
046","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
050","4","***","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
060","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Studies","Course Total","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"252
CS&D","Dept. Total","1397","3.724","71.5","13.7","8.4","3.2","1.6","0.8","0.1","0.5","",".",".","",".","0.1","0.1",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","54","2.981","18.5","14.8","31.5","18.5","14.8","1.9",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","167","3.358","32.9","32.9","19.2","9.0","3.6","1.8","0.6",".","",".",".","",".",".",".",".",".","."
"Junior","","239","3.631","61.5","17.6","13.0","5.0","2.1","0.8",".",".","",".",".","",".",".",".",".",".","."
"Senior","","420","3.788","74.8","15.7","6.0","1.9","0.5","0.7","0.2","0.2","",".",".","",".",".",".",".",".","."
"Undergraduates","","880","3.613","59.8","19.4","11.9","5.1","2.4","1.0","0.2","0.1","",".",".","",".",".",".",".",".","."
"Special","","56","3.796","76.8","7.1","12.5",".",".","1.8",".","1.8","",".",".","",".",".",".",".",".","."
"Graduate","","291","3.958","91.1","4.1","1.4",".","0.3","0.3",".","1.7","",".",".","",".","0.3","0.7",".",".","."
"Prof Yr 1","","42","3.974","95.2","4.8",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","56","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","71","3.971","95.8","2.8","1.4",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","170","3.980","97.1","2.4","0.6",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1397","3.724","71.5","13.7","8.4","3.2","1.6","0.8","0.1","0.5","",".",".","",".","0.1","0.1",".",".","."
