"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"43","002","","48","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"43","003","","116","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","","280","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum
461","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting for Singers
463","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marching Band Techniques
465","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","032","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"497","053","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"497","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"497","072","","22","3.705","77.3","9.1","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"497","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Music","Course Total","","56","3.866","91.1","3.6","1.8","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"499","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"499","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Concert Choir
50","001","","30","3.862","90.0",".","3.3",".",".","3.3",".","3.3",".",".",".",".",".",".",".","."
"Ethnographic Methods for Music
516","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Treble Choir
52","001","","49","3.867","89.8","6.1","2.0",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"Choral Union
53","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Choral Lit &Perf Prac-Today
542","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced String Pedagogy
544","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"546","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"546","116","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"String Literature","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conducting Seminar
553","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"University Opera
556","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop
557","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Madrigal Singers
558","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Choral Union
559","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chorale
56","001","","34","3.882","94.1",".","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"562","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"562","196","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","","3","***","","","","","","","","","","","","","","","",""
"565","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"565","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
