"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"M M & I","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","19","3.604","63.2","10.5","5.3","10.5","10.5",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","43","3.460","55.8","7.0","20.9","2.3","11.6","2.3","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","64","3.521","59.4","7.8","15.6","4.7","10.9","1.6","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","64","3.882","29.7","1.6","3.1",".",".",".","",".","12.5","",".",".","",".","48.4","1.6",".","3.1","."
"Prof Yr 3","","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","4","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","7","4.000","28.6",".",".",".",".",".","",".","71.4","",".",".","",".",".",".",".",".","."
