"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","15","3.733","80.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
003","13","3.462","69.2","15.4",".",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
004","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.406","68.8","6.3","12.5",".",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"","100
007","16","3.719","87.5","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
008","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","16","3.750","68.8","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.692","53.8","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","16","3.633","68.8","12.5",".","6.3",".","6.3",".",".",".",".",".",".","6.3",".",".","."
"","100
015","16","3.594","62.5","18.8","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","100
016","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
018","16","3.594","75.0","6.3",".",".","18.8",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","211","3.702","72.5","15.2","5.2","1.4","2.4","1.4","1.4",".",".",".",".",".","0.5",".",".","."
"","212
001","21","3.571","47.6","38.1",".","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.700","60.0","25.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","41","3.634","53.7","31.7","4.9","7.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"Rsrch Mthd: Commun Indstry","250
001","97","3.186","27.8","20.6","30.9","6.2","12.4","2.1",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","29","3.793","86.2","3.4",".","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Correcting Misinfo in Science","340
001","81","3.738","74.1","14.8","4.9",".","2.5","1.2","1.2",".",".",".",".",".",".",".",".","1.2"
"Information Radio","360
001","17","3.765","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375
001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Brand Strategy for Sciences","435
001","37","3.944","89.2","5.4","2.7",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Digital Media & Sci Comm","440
001","64","3.750","64.1","26.6","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","49","3.959","95.9","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Social Media Analytics","460
001","67","3.955","91.0","9.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ag Marketing NAMA","477
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Marketing of Sciences","515
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Science for the Public","561
001","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","21","3.810","90.5",".",".",".","9.5",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq in Life Sci Communicatn","700
001","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Public Opinion-Life Sci Issues","902
001","15","3.923","73.3","13.3",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"","990
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 5 of 476"
