"ENVIR ST - GAYLORD NELSON I Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","122","3.799","85.2","5.7","3.3","1.6","2.5",".","1.6",".",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","50","3.265","30.0","30.0","22.0","10.0","2.0",".","4.0","2.0",".",".",".",".",".",".",".","."
"Environmental Humanities","113","001","196","3.920","86.7","9.2","2.6","0.5",".",".",".","1.0",".",".",".",".",".",".",".","."
"Intro Earth System","120","001","63","3.270","22.2","33.3","27.0","14.3","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Principles-Envrnmtl Science","126","001","60","3.864","78.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","1.7","."
"Global Environmental Issues","139","001","102","3.129","16.7","26.5","35.3","6.9","13.7",".",".",".",".",".",".",".","1.0",".",".","."
"","153","001","50","3.830","74.0","20.0","4.0","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","153","002","7","3.667","28.6","57.1",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Literature and the Environment","","Course Total","57","3.813","68.4","24.6","3.5","1.8",".",".",".",".",".",".",".",".","1.8",".",".","."
"Global Chg: Atmospheric Iss","171","001","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199","114","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","201","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","002","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","003","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Insects and Human Culture","","Course Total","43","3.942","90.7","7.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in the Environment","202","001","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","82","3.797","69.5","20.7","1.2","3.7","1.2",".",".",".",".",".",".",".","3.7",".",".","."
"Soil: Ecosystem & Resource","230","001","18","2.722","22.2","16.7","16.7","16.7","16.7",".","11.1",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","24","3.167","37.5","16.7","25.0",".","16.7",".","4.2",".",".",".",".",".",".",".",".","."
"People, Land and Food","309","001","29","3.879","89.7","3.4","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","317","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","317","002","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","33","3.909","90.9","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Polar Regions","322","001","15","3.733","66.7","13.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Systems & LCA","326","001","30","3.900","90.0","3.3","3.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","42","3.524","47.6","16.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Green Urbanism","333","001","25","3.771","68.0","20.0",".","8.0",".",".",".",".",".",".",".",".",".","4.0",".","."
"Environmental Conservation","339","001","60","3.192","21.7","20.0","40.0","11.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","10","3.500","30.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0","."
"Wetlands Ecology","361","001","31","3.741","51.6","35.5","6.5",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"Renewable Energy Systems","367","001","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Envir Remote Sensing","371","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Geog Info Systems","377","001","16","3.063","18.8","25.0","43.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Sustainability Cmty Engagement","398","001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Directed Study","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","400","001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Biol Aspects-Envir St","","Course Total","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
