"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"R M I","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","22","3.045","36.4",".","36.4","9.1","9.1","9.1",".",".","",".",".","",".",".","",".",".",".","."
"Junior","96","3.153","36.5","9.4","22.9","18.8","9.4","1.0","1.0","1.0","",".",".","",".",".","",".",".",".","."
"Senior","215","3.526","59.1","16.3","13.0","4.7","4.7","2.3",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","334","3.382","50.9","13.2","17.7","9.0","6.3","2.4","0.3","0.3","",".",".","",".",".","",".",".",".","."
"Special","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","141","3.598","46.8","21.3","26.2","1.4",".",".",".","2.1","",".",".","",".","2.1","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
