"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","21","3.286","38.1","19.0","23.8",".","19.0",".",".",".",".",".",".",".",".",".",".","."
"","101
002","21","3.375","42.9","14.3","23.8",".","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","101
003","21","3.524","52.4","23.8","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"","101
004","20","3.025","35.0","10.0","20.0","5.0","25.0","5.0",".",".",".",".",".",".",".",".",".","."
"","101
005","19","3.053","31.6","15.8","26.3","15.8",".","5.3","5.3",".",".",".",".",".",".",".",".","."
"","101
006","19","3.184","57.9","5.3","15.8",".","10.5",".","10.5",".",".",".",".",".",".",".",".","."
"","101
007","17","3.294","35.3","17.6","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"First Semester Spanish","Course Total","138","3.252","42.0","15.2","20.3","5.8","12.3","1.4","2.2","0.7",".",".",".",".",".",".",".","."
"","102
001","21","3.100","42.9","9.5","23.8",".","4.8","9.5","4.8","4.8",".",".",".",".",".",".",".","."
"","102
002","21","2.310","9.5","9.5","19.0","14.3","28.6","9.5","9.5",".",".",".",".",".",".",".",".","."
"","102
003","24","2.896","20.8","12.5","41.7",".","16.7","4.2","4.2",".",".",".",".",".",".",".",".","."
"","102
004","24","3.104","25.0","12.5","41.7",".","20.8",".",".",".",".",".",".",".",".",".",".","."
"","102
005","23","3.478","43.5","26.1","21.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Spanish","Course Total","113","2.987","28.3","14.2","30.1","2.7","15.9","4.4","3.5","0.9",".",".",".",".",".",".",".","."
"","203
001","12","3.708","75.0","8.3","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","17","3.588","58.8","17.6","11.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","203
003","19","3.395","26.3","31.6","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","203
004","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
005","21","3.024","28.6","19.0","28.6","4.8","4.8","14.3",".",".",".",".",".",".",".",".",".","."
"","203
006","15","3.333","46.7","20.0","6.7","6.7","20.0",".",".",".",".",".",".",".",".",".",".","."
"","203
007","16","3.469","56.3","6.3","31.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Third Semester Spanish","Course Total","119","3.450","48.7","19.3","20.2","3.4","5.0","3.4",".",".",".",".",".",".",".",".",".","."
"","204
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
002","21","3.690","61.9","14.3","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
003","23","3.435","60.9","4.3","17.4","4.3","8.7","4.3",".",".",".",".",".",".",".",".",".","."
"","204
004","24","3.083","29.2","20.8","16.7","20.8","8.3",".","4.2",".",".",".",".",".",".",".",".","."
"","204
005","17","3.324","35.3","23.5","23.5","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"","204
006","23","3.652","52.2","26.1","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Spanish","Course Total","118","3.462","50.0","16.9","20.3","5.9","5.1","0.8","0.8",".",".",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","223
001","83","3.427","47.0","16.9","20.5","4.8","8.4","1.2",".","1.2",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","224
001","94","3.505","43.6","26.6","21.3","5.3","1.1",".","1.1","1.1",".",".",".",".",".",".",".","."
"Linguistic Study of Spanish","225
001","96","3.281","42.7","19.8","12.5","11.5","10.4","1.0","2.1",".",".",".",".",".",".",".",".","."
"","226
001","24","3.750","66.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","23","3.674","65.2","21.7","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","226
003","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
004","18","3.639","66.7","11.1","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","226
005","13","3.538","53.8","15.4","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","226
006","19","3.816","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
007","20","3.200","20.0","35.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","226
008","22","3.750","68.2","13.6","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","161","3.671","64.0","18.0","11.2","3.1","3.1","0.6",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 347 of 476",""
