"CHEMICAL & BIOLOGICAL ENG","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Intro to Chemical Engineering","150","001","","42","3.512","42.9","40.5","7.1","4.8",".","4.8",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","001","","50","2.930","16.0","24.0","24.0","18.0","10.0","8.0",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","66","3.106","24.2","27.3","21.2","12.1","10.6","3.0","1.5",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","58","3.009","19.0","17.2","37.9","5.2","19.0",".","1.7",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","37","2.946","21.6","21.6","16.2","10.8","27.0","2.7",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","36","2.971","19.4","27.8","22.2","11.1","5.6","8.3","2.8",".",".",".",".",".","2.8",".",".","."
"","324","001","","16","3.406","25.0","43.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","16","3.469","31.3","31.3","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","16","3.438","43.8","18.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","16","3.469","37.5","31.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","64","3.445","34.4","31.3","23.4","10.9",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","68","3.052","20.6","22.1","26.5","11.8","14.7","2.9",".",".",".",".",".",".","1.5",".",".","."
"Mass Transfer Operations","426","001","","41","3.085","26.8","14.6","26.8","17.1","12.2","2.4",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","39","3.141","25.6","20.5","28.2","12.8","10.3","2.6",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","25","3.640","56.0","24.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","82","3.299","32.9","19.5","29.3","13.4","3.7","1.2",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","002","","80","3.101","23.8","20.0","27.5","15.0","10.0","1.3","1.3",".",".",".",".",".","1.3",".",".","."
"Honors in Research","489","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Tech and Sustainability","512","001","","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fuels, Chemicals from Biomass","538","001","","23","3.478","56.5","8.7","17.4","8.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","33","3.545","33.3","42.4","24.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Colloid&Interface Sci","547","001","","26","3.500","30.8","46.2","19.2",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","562","006","","9","3.725","44.4","33.3","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","562","008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","17","3.804","70.6","17.6","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 119 of 476",""
