"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","",""
"VET","","","","","","","","","","","","","","","","","","","","",""
"VET","College Total","4045","3.610","41.3","8.7","9.3","1.4","1.5","0.0","",".","37.3","0.0",".","",".","0.1","0.3",".","0.0","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","NW","NR","Other"
"VET","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","4","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","23","3.910","91.3","4.3","4.3",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Senior","","31","3.979","96.8","3.2",".",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Undergraduates","","59","3.955","94.9","3.4","1.7",".",".",".","",".",".",".",".","",".",".",".",".",".","."
"Special","","17","3.250",".","5.9","5.9",".",".",".","",".","88.2",".",".","",".",".",".",".",".","."
"Graduate","","78","4.000","20.5",".",".",".",".",".","",".","73.1","1.3",".","",".","5.1",".",".",".","."
"Prof Yr 1","","931","3.444","27.8","12.2","16.4","3.1","3.8",".","",".","35.8",".",".","",".",".","0.8",".","0.1","."
"Prof Yr 2","","854","3.599","46.6","13.3","12.9","1.5","0.7",".","",".","24.4",".",".","",".",".","0.6",".",".","."
"Prof Yr 3","","1154","3.536","40.0","10.5","9.7","1.1","1.8","0.2","",".","36.7",".",".","",".",".",".",".",".","."
"Prof Yr 4","","952","4.000","50.4",".",".",".",".",".","",".","49.6",".",".","",".",".",".",".",".","."
"Professionals","","3891","3.601","41.1","9.0","9.6","1.4","1.6","0.1","",".","36.9",".",".","",".",".","0.3",".","0.0","."
"","College Total","4045","3.610","41.3","8.7","9.3","1.4","1.5","0.0","",".","37.3","0.0",".","",".","0.1","0.3",".","0.0","."
