"TERM : 1234","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2022-2023","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","",""
"FOOD SCIENCE","","Section
#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","Dept. Total
300","3.321","43.0","12.3","13.0","3.7","6.3","0.3","",".","12.0","0.3","8.0","",".","1.0","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"390","FOOD SCI","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","9","",".",".",".",".",".",".","",".",".",".","100.0","",".",".","",".",".",".","."
