"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Animal Hlth Hist Restraint","570
001","95","",".",".",".",".",".",".",".","92.6",".",".",".",".","7.4",".",".","."
"Sm Animal Emrgncy&Crit Care I","576
001","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Vet Diag&Therapeut Techniq","625
001","88","4.000","73.9",".",".",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"Veterinary Nutrition","629
001","95","3.411","33.7","26.3","32.6","3.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med II","633
001","88","3.375","33.0","21.6","36.4","5.7","3.4",".",".",".",".",".",".",".",".",".",".","."
"Swine Medicine","635
001","88","3.716","56.8","30.7","11.4","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","20","4.000","60.0",".",".",".",".",".",".","40.0",".",".",".",".",".",".",".","."
"Clin Dermatology Rotation","668
001","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"Small Anml Cardiolgy Rotatn","669
001","20","4.000","15.0",".",".",".",".",".",".","85.0",".",".",".",".",".",".",".","."
"","670
001","41","4.000","82.9",".",".",".",".",".",".","17.1",".",".",".",".",".",".",".","."
"","670
002","8","4.000","87.5",".",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","49","4.000","83.7",".",".",".",".",".",".","16.3",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","52","4.000","61.5",".",".",".",".",".",".","38.5",".",".",".",".",".",".",".","."
"","675
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
006","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
008","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
009","95","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
011","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
014","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
015","90","",".",".",".",".",".",".",".","97.8",".",".",".",".","2.2",".",".","."
"","675
021","89","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
023","88","4.000","35.2",".",".",".",".",".",".","64.8",".",".",".",".",".",".",".","."
"","675
054","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","430","4.000","15.8",".",".",".",".",".",".","83.7",".",".",".",".","0.5",".",".","."
"","678
001","49","4.000","63.3",".",".",".",".",".",".","36.7",".",".",".",".",".",".",".","."
"","678
002","9","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","58","4.000","60.3",".",".",".",".",".",".","39.7",".",".",".",".",".",".",".","."
"Small Animal Oncology","679
001","14","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
060","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
110","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
155","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","24","4.000","37.5",".",".",".",".",".",".","62.5",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","7","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","710
001","33","4.000","15.2",".",".",".",".",".",".","84.8",".",".",".",".",".",".",".","."
"","710
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"SA Emergency Medicine","Course Total","35","4.000","14.3",".",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"","714
001","29","4.000","89.7",".",".",".",".",".",".","10.3",".",".",".",".",".",".",".","."
"","714
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 467 of 476",""
