"INDUSTRIAL & SYSTEMS ENGR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"641","001","","17","3.471","29.4","35.3","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"641","003","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Analysis-Manufact Sys","Course Total","","30","3.600","43.3","33.3","23.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","3.978","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Cooperative Educ Program
702","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nonlinear Optimization I
726","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Integer Optimization
728","001","","11","3.545","54.5","9.1","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research & Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"859","001","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"859","002","","9","3.615","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Human Factors Engr","Course Total","","17","3.739","47.1","35.3","5.9",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"890","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"890","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","040","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".","16.7",".",".","."
"890","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","071","","5","***","","","","","","","","","",".",".",".",".",".",".","."
