"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","65","2.895","20.0","18.5","20.0","13.8","15.4","6.2","1.5","1.5",".",".",".",".","1.5","1.5",".","."
"","101
002","98","2.515","14.3","13.3","22.4","10.2","20.4","14.3","5.1",".",".",".",".",".",".",".",".","."
"Animal Biology","Course Total","163","2.663","16.6","15.3","21.5","11.7","18.4","11.0","3.7","0.6",".",".",".",".","0.6","0.6",".","."
"","102
001","6","3.000","33.3",".","33.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","102
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
004","8","3.125","12.5","25.0","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
005","9","2.667","22.2","11.1","33.3","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"","102
007","10","3.400","40.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
008","8","3.375","37.5","12.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","102
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
011","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
012","6","2.833","16.7","16.7","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"","102
013","7","2.286",".","14.3","28.6","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".","."
"","102
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
015","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
017","9","3.000","22.2","33.3","22.2","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","102
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","102
019","13","3.038","23.1","30.8","15.4","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","103","2.995","24.3","17.5","26.2","12.6","14.6","1.9","2.9",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","60","2.800","18.3","10.0","38.3","6.7","15.0","10.0","1.7",".",".",".",".",".",".",".",".","."
"","152
001","105","3.288","41.9","11.4","31.4","3.8","5.7","2.9","1.9",".",".",".",".",".","1.0",".",".","."
"","152
002","147","3.347","42.2","11.6","34.0","2.0","8.8","0.7","0.7",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","252","3.323","42.1","11.5","32.9","2.8","7.5","1.6","1.2",".",".",".",".",".","0.4",".",".","."
"Introductory Biology","153
001","52","2.971","25.0","9.6","40.4","3.8","13.5","5.8","1.9",".",".",".",".",".",".",".",".","."
"Introductory Ecology","260
001","36","2.971","16.7","13.9","30.6","13.9","19.4",".",".","2.8",".",".",".",".",".",".","2.8","."
"","299
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
018","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Studies in Zoology","Course Total","9","3.950","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology","300
001","88","3.210","46.6","18.2","8.0","10.2","6.8","8.0","2.3",".",".",".",".",".",".",".",".","."
"","301
001","20","3.775","60.0","35.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","19","3.158","26.3","26.3","21.1","15.8","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Invertebrate Zoology Lab","Course Total","39","3.474","43.6","30.8","12.8","7.7","2.6","2.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Entomology","302
001","8","3.063","37.5","25.0",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"Hum/An Relatn:Bio&Phils Iss","335
001","23","3.523","34.8","43.5","8.7","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Parasitology","350
001","37","3.405","40.5","27.0","21.6",".","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","400
001","8","3.250","62.5",".","12.5",".","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"","400
002","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","36","3.278","30.6","22.2","27.8","11.1","8.3",".",".",".",".",".",".",".",".",".",".","."
