"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","139","2.669","25.9","8.6","15.8","10.1","26.6","7.2","5.8",".",".",".",".",".",".",".",".","."
"","101
002","204","2.651","16.7","6.9","30.4","12.3","21.1","7.8","3.9",".",".",".",".",".","0.5","0.5",".","."
"Animal Biology","Course Total","343","2.658","20.4","7.6","24.5","11.4","23.3","7.6","4.7",".",".",".",".",".","0.3","0.3",".","."
"","102
001","12","3.333","41.7","16.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
002","13","3.423","23.1","38.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
004","10","3.150","20.0","20.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
005","10","3.150","30.0","20.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
007","10","3.000","20.0","30.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","102
008","11","3.091","27.3","18.2","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","102
010","14","3.143","14.3","35.7","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".","."
"","102
011","12","2.875","16.7","16.7","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
012","11","3.000","27.3","9.1","9.1","45.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
013","11","2.818",".","18.2","36.4","36.4","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
014","14","2.821","28.6","14.3","14.3","7.1","21.4","14.3",".",".",".",".",".",".",".",".",".","."
"","102
015","13","3.077","30.8","15.4","23.1","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"","102
017","6","2.750","16.7",".","50.0","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","102
018","9","2.667","11.1","11.1","44.4","11.1",".","22.2",".",".",".",".",".",".",".",".",".","."
"","102
019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","161","3.016","21.7","19.3","27.3","16.1","9.3","6.2",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","30","2.900","23.3","6.7","43.3",".","20.0","3.3","3.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","151
001","310","2.926","22.6","10.0","35.2","8.7","17.7","3.5","1.9",".",".",".",".",".",".",".",".","0.3"
"","152
001","364","3.373","42.3","13.5","32.1","4.1","5.5","1.4","0.5",".",".",".",".",".","0.5",".",".","."
"","152
002","345","3.341","39.7","14.8","32.5","2.9","6.7","2.6",".",".",".",".",".",".","0.9",".",".","."
"Introductory Biology","Course Total","709","3.357","41.0","14.1","32.3","3.5","6.1","2.0","0.3",".",".",".",".",".","0.7",".",".","."
"Special Topics","375
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","522
001","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","522
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Communicating Evolutionary Bio","Course Total","10","3.857","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
