"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"682","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis II","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Senior Thesis I
691","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Directed Study
699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Gender&Wmn Studies
720","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sex/Gender-Related Iss in C&I
760","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Research
799","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods in GWS
800","001","","16","3.700","62.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Gender & Sexuality - Mass Comm
828","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender
904","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology of Women and Gender
932","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Sexuality
938","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research
999","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
