"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Fam Prac-Foster & Kinship Care","Course Total","35","3.767","71.4","22.9",".",".","5.7",".",".",".",".",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","710
002","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
010","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
011","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Div, Opp & Soc Justice Soc Wrk","Course Total","37","3.892","78.4","21.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","711
010","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess&Treat Chld&Adolescnt","742
010","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
050","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
061","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","801
004","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","801
016","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
102","13","3.920","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
103","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
104","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
105","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr IV","Course Total","128","3.972","94.5","3.9","0.8",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Soc Work Prac in Schools II","817
010","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Wrk Practicum Schools II","818
010","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"SW Pract. in Aging & MH","821
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Mental Hlth Policies&Services","836
001","44","3.779","70.5","20.5","2.3",".","4.5",".",".",".",".",".",".",".","2.3",".",".","."
"","840
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
010","20","3.775","65.0","30.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Macro Practice","Course Total","64","3.922","87.5","10.9",".","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","842
001","16","3.906","93.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","842
010","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
