"JOURN AND MASS COMMUNICA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"Intro to Sports Communication","150","001","120","3.941","95.0",".","2.5",".","1.7",".",".","0.8",".",".",".",".",".",".",".","."
"Digital Media Fluency","175","099","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in Mass Comm","176","013","29","3.466","51.7","20.7","10.3","10.3","3.4","3.4",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","201","001","273","3.423","40.3","27.1","21.2","4.8","3.3","1.5","1.1",".",".",".",".",".","0.4",".","0.4","."
"Mass Communication Practices","202","001","117","3.582","30.8","54.7","12.8","0.9",".",".",".",".",".",".",".",".","0.9",".",".","."
"Information for Communication","203","001","117","3.556","40.2","39.3","14.5","5.1",".","0.9",".",".",".",".",".",".",".",".",".","."
"","335","001","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335","002","20","3.800","75.0","20.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Principles/Practices-Reporting","","Course Total","39","3.872","82.1","15.4",".",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"","345","001","39","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","345","002","42","3.988","97.6","2.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles & Pract Strat Comm","","Course Total","81","3.975","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","373","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investigative Reporting","420","001","18","3.647","72.2",".","11.1",".","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Video Journalism","425","001","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Campaign Messages","445","001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Sports Communication","450","001","48","3.719","47.9","47.9","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Storytelling Through Sound","457","001","19","3.667","36.8","52.6","5.3",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Public Relations Strategies","464","001","22","3.545","68.2","9.1","4.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"Social Media Marketing Communi","465","001","24","3.667","70.8","12.5","8.3","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"Spec Topics-Adv Concpts&Skills","475","041","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","563","001","92","3.402","30.4","29.3","32.6","5.4","2.2",".",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","566","001","98","3.684","50.0","37.8","11.2","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium Prof Comm Careers","601","001","93","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Literary Aspects of Journ","669","001","23","3.500","39.1","34.8","17.4","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Govt & Mass Media","675","005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","676","061","118","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","697","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","697","015","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","697","017","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"","697","076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","24","",".",".",".",".",".",".",".",".",".","95.8","4.2",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
