"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"","502
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadrshp & Plcy Anlys","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Ed Ldrship","700
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athletics Administration","Course Total","","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coaching Athletics 2: Bell Cow","755
001","","44","3.988","90.9","2.3",".",".",".",".",".",".",".",".",".",".","6.8",".",".","."
"","777
001","","7","3.357","71.4","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","777
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"HPE Capstone Seminar","Course Total","","21","3.762","85.7","9.5",".",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Quant Inquiry in Educ","822
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt for Ed Pol Analysis","823
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Rsch Methods-Ed Admin","825
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Postsecondry Educ","831
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadershp-Inclusive Schling","835
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public School Law","Course Total","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspects of Higher Ed","841
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Foundations of Spec Ed","842
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","844
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","844
002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology Leadership","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Superintendency","846
001","","26","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Instr Leadership&Tchr Capacity","847
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","870
001","","11","3.500","72.7","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","883
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","883
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"College Identity & Development","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leader Stud Abrd Intl Stdt Svc","885
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment in Higher Education","888
001","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","890
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","890
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","900
001","","10","4.000","30.0",".",".",".",".",".",".",".",".",".",".",".","70.0",".",".","."
"","900
002","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Internship in Ed Admin","Course Total","","21","4.000","61.9",".",".",".",".",".",".",".",".",".",".",".","38.1",".",".","."
