"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"The Italian Renaissance","106","001","96","3.713","38.5","6.3","1.0","1.0",".",".","2.1",".",".",".",".",".",".",".","51.0","."
"The Body, Sex, & Health in Art","107","001","239","3.569","46.9","34.7","9.6","5.0","2.5",".","0.8",".",".",".",".",".","0.4",".",".","."
"Anti-Racism and Visual Culture","130","001","182","3.880","80.2","9.9","4.9","1.1",".",".",".",".",".",".",".",".","3.3",".","0.5","."
"History of Western Art I","201","001","90","3.087","24.4","12.2","20.0","5.6","10.0","2.2","2.2",".",".",".",".",".",".",".","23.3","."
"Intro to Afro-American Art","242","001","30","3.852","73.3","6.7","10.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Greek Sculpture","302","001","23","3.667","39.1","8.7","17.4",".",".",".",".","26.1",".",".",".",".","8.7",".",".","."
"Topics in Art History","303","001","43","3.512","55.8","27.9","4.7",".",".",".","7.0","4.7",".",".",".",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304","001","28","3.429","42.9","25.0","14.3","10.7","7.1",".",".",".",".",".",".",".",".",".",".","."
"Ancient Chinese Art & Religion","307","001","22","3.308","18.2","13.6","18.2","4.5","4.5",".",".","40.9",".",".",".",".",".",".",".","."
"Icons, Religion, and Empire","310","001","19","3.400","15.8","10.5","26.3",".",".",".",".","36.8",".",".",".",".","10.5",".",".","."
"19th C Painting in Europe","350","001","45","3.673","28.9","22.2","4.4","2.2",".",".",".","42.2",".",".",".",".",".",".",".","."
"Northern Renaissance","360","001","30","4.000","56.7",".",".",".",".",".",".","3.3",".",".",".",".",".","3.3","36.7","."
"Great Cities of Islam","373","001","11","3.938","63.6","9.1",".",".",".",".",".","9.1",".",".",".",".","18.2",".",".","."
"Topics in Twentieth-Cent Art","408","001","15","3.818","46.7","26.7",".",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"Topics in Asian Art","411","001","28","3.288","21.4","42.9","14.3","10.7",".",".","3.6",".",".",".",".",".","3.6","3.6",".","."
"Topics in Medieval Art","415","001","18","3.571","22.2","5.6","5.6","5.6",".",".",".","61.1",".",".",".",".",".",".",".","."
"Topics in Visual Culture","430","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","500","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Curatorial Studies Exhbtn Clss","506","001","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Islamic Art","510","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosmr:20th Cent European Art","556","001","6","4.000","66.7",".",".",".",".",".",".","16.7",".",".",".",".","16.7",".",".","."
"","600","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Art History","","Course Total","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Intro to Museum Studies II","602","001","10","3.650","60.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","682","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in 19th Cent. Art","707","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Medieval Art","715","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Early Modern Art","731","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Japanese Art History","775","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Chinese Art History","776","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tpcs: Arch. & Urbanism of Asia","779","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 184 of 476",""
