"","990
138","2","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
162","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"PhD Thesis-Marketing","Course Total","6","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Readng & Rsch-Marketing PhD","999
031","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"237
MARKETNG","Dept. Total","2254","3.492","44.0","28.5","18.4","5.5","2.2","0.7","0.3","0.4","",".",".","",".","",".","",".",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","25","2.760","8.0","28.0","28.0","12.0","16.0",".","8.0",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","280","3.254","30.0","26.8","22.9","12.1","5.4","2.1","0.7",".","",".",".","",".","",".","",".",".",".","."
"Junior","","530","3.387","34.3","30.4","21.1","9.6","3.4","1.1",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","752","3.553","48.3","26.3","19.1","3.9","1.5","0.5","0.4",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1587","3.432","39.8","27.8","20.6","7.4","3.0","1.0","0.4",".","",".",".","",".","",".","",".",".",".","."
"Special","","51","3.420","29.4","35.3","23.5","7.8","2.0",".",".",".","",".",".","",".","",".","",".",".","2.0","."
"Graduate","","616","3.693","56.0","29.7","12.2","0.6",".",".",".","1.3","",".",".","",".","",".","",".",".","0.2","."
"","Dept. Total","2254","3.492","44.0","28.5","18.4","5.5","2.2","0.7","0.3","0.4","",".",".","",".","",".","",".",".","0.1","."
