"BIOLOGICAL SYSTEMS ENGINE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","",""
"Cooperative Educ Program
1","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Product Design Practicum
170","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Career Management-Engineers
308","001","","51","3.931","94.1","2.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Proj Econ & Decsn Analysis
310","001","","37","2.689","10.8","8.1","27.0","16.2","37.8",".",".",".",".",".",".",".",".",".",".","."
"Quant Technqs-Biological Systm
349","001","","35","3.671","62.9","14.3","17.1","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prop-Food & Biol Matls
364","001","","8","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measrmt&Instrumntn-Biol Sys
365","001","","30","3.190","33.3","13.3","26.7","3.3","20.0",".",".",".",".",".",".",".",".","3.3",".","."
"367","001","","96","3.622","53.1","14.6","14.6","5.2","2.1",".",".","9.4",".",".",".",".",".",".","1.0","."
"367","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Renewable Energy Systems","Course Total","","99","3.624","53.5","14.1","15.2","5.1","2.0",".",".","9.1",".",".",".",".",".",".","1.0","."
"Intel & Autom in Ag
405","001","","12","3.591","33.3","41.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Biorefining: Energy & Products
460","001","","11","3.455","27.3","36.4","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Heat and Mass Transfer
464","001","","11","3.091","18.2","45.5","9.1","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Sedmnt & Bio-Nutr Engr&Mgmt
472","001","","17","3.235","17.6","29.4","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Princpl Off-Road Vehicles
476","001","","19","3.583","47.4","36.8","5.3",".",".","5.3",".",".",".",".",".",".",".","5.3",".","."
"Biol Sys Engr Dsgn Practicum I
508","002","","31","3.935","87.1","12.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Small Watershed Engineering
571","001","","19","3.000","15.8","42.1","15.8","10.5","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Practicum-Ag Engr Teaching
799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
875","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar
901","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","61.1",".",".",".","38.9",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
