"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","7","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","18","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","27","3.955","88.9","7.4",".","",".",".","",".","",".",".","",".",".","",".","",".","3.7",".",".","."
"Undergraduates","","52","3.977","94.2","3.8",".","",".",".","",".","",".",".","",".",".","",".","",".","1.9",".",".","."
"Graduate","","22","3.633","27.3","4.5","4.5","",".","4.5","",".","",".","59.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","","9","",".",".",".","",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","","15","4.000","6.7",".",".","",".",".","",".","",".","93.3","",".",".","",".","",".",".",".",".","."
