"ENGR MECHANICS & AEROSPA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog
1","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"201","001","","237","3.201","32.9","20.3","20.7","14.8","8.0","1.3","1.7",".",".",".",".",".","0.4",".",".","."
"201","002","","251","3.104","23.9","30.7","22.7","9.2","5.2","6.0","2.4",".",".",".",".",".",".",".",".","."
"Statics","Course Total","","488","3.151","28.3","25.6","21.7","11.9","6.6","3.7","2.0",".",".",".",".",".","0.2",".",".","."
"Dynamics
202","001","","118","3.038","11.9","26.3","31.4","20.3","9.3","0.8",".",".",".",".",".",".",".",".",".","."
"303","001","","63","3.135","19.0","28.6","31.7","14.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"303","002","","71","2.817","12.7","14.1","28.2","25.4","15.5","2.8","1.4",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","","134","2.966","15.7","20.9","29.9","20.1","8.2","4.5","0.7",".",".",".",".",".",".",".",".","."
"307","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"307","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","010","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"307","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"307","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"307","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"307","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"307","016","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","","45","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Matrls-Constructed Facilities
395","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-Finite Elements
405","001","","31","3.274","32.3","16.1","38.7","6.5","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"Intermed Problem Solving-Engrs
471","001","","14","3.464","35.7","28.6","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Composite Materials
508","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fracture Mechanics
519","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Aerodynamics Lab
522","001","","24","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Flight Dynamics and Control
523","001","","18","3.528","44.4","27.8","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Vibrations
545","001","","47","3.543","40.4","36.2","21.3",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"Engineering Analysis II
548","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Astrodynamics
550","001","","35","3.814","80.0","14.3","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"Senior Design Project
569","001","","39","3.679","46.2","43.6","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"599","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","056","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"599","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"599","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","3.868","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics: Engr Mech
601","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Mech Testing-Materials
611","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
