"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"","306
001","241","3.923","86.7","11.2","2.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
002","35","3.800","71.4","22.9","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","306
003","35","3.886","85.7","11.4",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","Course Total","311","3.905","84.9","12.5","1.9",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365
003","9","3.929","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","410
001","37","3.167","18.9","24.3","40.5","8.1","2.7",".","2.7",".",".",".",".",".","2.7",".",".","."
"","410
002","37","3.432","29.7","37.8","21.6","10.8",".",".",".",".",".",".",".",".",".",".",".","."
"","410
004","11","3.136","18.2","27.3","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","410
005","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","Course Total","99","3.301","26.3","29.3","29.3","10.1","3.0",".","1.0",".",".",".",".",".","1.0",".",".","."
"","415
001","22","3.341","36.4","22.7","22.7","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","415
002","35","3.343","34.3","28.6","20.0","11.4","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Valuation of Real Estate","Course Total","57","3.342","35.1","26.3","21.1","10.5","5.3","1.8",".",".",".",".",".",".",".",".",".","."
"","420
001","42","3.393","35.7","26.2","19.0","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"","420
002","47","3.266","29.8","27.7","12.8","25.5","4.3",".",".",".",".",".",".",".",".",".",".","."
"","420
003","30","3.517","43.3","33.3","6.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","420
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban & Regional Economics","Course Total","123","3.382","35.8","28.5","13.8","20.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"","425
001","16","3.563","56.3","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","425
002","40","3.725","60.0","27.5","10.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","Course Total","56","3.679","58.9","25.0","10.7","3.6","1.8",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Est Investment Analysis","530
001","22","3.905","77.3","18.2",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Real Estate Equity Investment","540
001","25","3.880","76.0","24.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private Equity Investment I","550
001","29","3.466","27.6","37.9","34.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Residentl Property Devlpmnt","611
001","74","3.736","67.6","23.0","6.8",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"Excel Modeling","631
001","73","3.466","38.4","34.2","16.4","9.6",".",".","1.4",".",".",".",".",".",".",".",".","."
"ARGUS Modeling","632
001","76","3.513","36.8","34.2","25.0","2.6","1.3",".",".",".",".",".",".",".",".",".",".","."
"Green-Sustainable Development","651
001","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661
001","61","3.648","39.3","50.8","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","18","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","27","3.704","48.1","44.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760
001","36","3.681","58.3","25.0","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
057","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Urban Land Econ","Course Total","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Applied RE Investment II","842
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
