"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Politcs&Governmt","104","001","200","3.085","18.0","22.5","33.5","16.0","3.0","3.5","1.0","1.5",".",".",".",".","1.0",".",".","."
"Intro to Comparative Politics","120","001","95","3.516","64.2","12.6","7.4","5.3","4.2","3.2","2.1","1.1",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","140","001","164","3.452","28.0","40.2","17.7","6.1","2.4",".",".","3.0",".",".",".",".","1.8","0.6",".","."
"Intro to Political Theory","160","001","150","3.490","37.3","26.0","32.0",".","1.3","0.7",".","2.7",".",".",".",".",".",".",".","."
"Research Methods in Poli Sci","170","001","116","3.366","38.8","36.2","7.8","6.0","7.8","0.9","2.6",".",".",".",".",".",".",".",".","."
"Intro to Compar Politics-Hon","182","001","25","3.580","28.0","60.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","217","001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","217","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Politics and Society","","Course Total","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","15","3.200","40.0","13.3","20.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255","001","21","3.381","28.6","23.8","42.9","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","13","3.385","38.5","30.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","272","001","36","3.681","63.9","25.0","5.6",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Political Choice and Strategy","274","001","47","3.467","55.3","14.9","14.9","4.3","2.1","6.4",".",".",".",".",".",".",".","2.1",".","."
"Africa: Introductory Survey","277","001","46","3.641","78.3","10.9",".",".","4.3","4.3","2.2",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302","001","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Politcal Economy-Race in US","304","001","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legislative Internship","315","001","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Careers in Political Science","316","001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chinese Politics","324","001","44","3.443","38.6","22.7","27.3","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","340","001","69","3.328","23.2","37.7","26.1","5.8","2.9",".","1.4",".",".",".",".",".","2.9",".",".","."
"Theories-Internationl Security","343","001","73","3.890","83.6","12.3","2.7","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","356","001","98","3.500","28.6","43.9","17.3","4.1","1.0",".",".","4.1",".",".",".",".",".",".",".","1.0"
"Literature and Politics","363","001","48","3.880","77.1","14.6","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2","."
"Intro to Survey Research","373","001","97","3.779","64.9","26.8","2.1","4.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"Study Abroad-Pol Sci:Intnl Rel","390","00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Political Science","400","001","25","3.740","52.0","44.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","002","22","3.477","31.8","36.4","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","401","003","22","3.705","68.2","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","401","004","17","3.647","41.2","52.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","61","3.607","47.5","34.4","11.5","4.9","1.6",".",".",".",".",".",".",".",".",".",".","."
"The American Presidency","408","001","89","3.222","28.1","19.1","21.3","12.4","9.0","1.1",".","9.0",".",".",".",".",".",".",".","."
"The American Constitution II","412","001","85","3.790","69.4","14.1","10.6",".","1.2",".",".","4.7",".",".",".",".",".",".",".","."
"Gend. & Poli. in Comp Persp.","429","001","38","3.697","63.2","18.4","15.8",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Topics in Political Philos","460","001","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos, Poli, & Econ Seminar","461","001","19","3.342","10.5","57.9","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Deception and Politics","463","001","51","3.790","72.5","17.6","3.9",".","3.9",".",".",".",".",".",".",".","2.0",".",".","."
"The First Amendment","470","001","33","3.438","42.4","27.3","15.2","9.1",".",".","3.0",".",".",".",".",".",".","3.0",".","."
