"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","205
001","55","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"","205
002","51","",".",".",".",".",".",".",".",".",".","92.2","7.8",".",".",".",".","."
"Financial Modeling in Excel","Course Total","106","",".",".",".",".",".",".",".",".",".","95.3","4.7",".",".",".",".","."
"","300
001","72","3.014","29.2","13.9","16.7","16.7","22.2",".","1.4",".",".",".",".",".",".",".",".","."
"","300
002","193","2.987","25.4","17.1","16.6","18.7","18.7","0.5","2.1","0.5",".",".",".",".",".",".","0.5","."
"","300
003","114","2.759","12.3","22.8","17.5","20.2","19.3","5.3","2.6",".",".",".",".",".",".",".",".","."
"","300
004","113","2.686","8.8","18.6","23.0","19.5","22.1","6.2","1.8",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","492","2.868","19.1","18.3","18.3","18.9","20.1","2.8","2.0","0.2",".",".",".",".",".",".","0.2","."
"","305
001","63","3.317","38.1","20.6","22.2","4.8","14.3",".",".",".",".",".",".",".",".",".",".","."
"","305
002","51","3.118","11.8","25.5","43.1","13.7","5.9",".",".",".",".",".",".",".",".",".",".","."
"","305
003","56","3.411","41.1","26.8","19.6","1.8","8.9","1.8",".",".",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","170","3.288","31.2","24.1","27.6","6.5","10.0","0.6",".",".",".",".",".",".",".",".",".","."
"","320
001","28","3.625","53.6","28.6","10.7","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","320
002","55","3.627","47.3","40.0","9.1","1.8",".","1.8",".",".",".",".",".",".",".",".",".","."
"","320
003","56","3.446","44.6","30.4","10.7","5.4","5.4","3.6",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","139","3.554","47.5","33.8","10.1","3.6","2.9","2.2",".",".",".",".",".",".",".",".",".","."
"","325
001","53","3.274","26.4","17.0","45.3","7.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"","325
002","30","3.267","30.0","13.3","43.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","325
003","23","3.304","21.7","30.4","39.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","325
004","43","3.395","39.5","23.3","20.9","9.3","7.0",".",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","149","3.312","30.2","20.1","36.9","7.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"","330
001","33","3.348","21.2","39.4","27.3","12.1",".",".",".",".",".",".",".",".",".",".",".","."
"","330
002","60","3.331","25.0","31.7","28.3","10.0","3.3",".",".","1.7",".",".",".",".",".",".",".","."
"","330
003","57","3.202","24.6","29.8","15.8","21.1","8.8",".",".",".",".",".",".",".",".",".",".","."
"","330
004","24","3.417","41.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","330
005","15","3.167","20.0","20.0","40.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","330
006","49","3.184","28.6","24.5","20.4","16.3","8.2",".","2.0",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","238","3.270","26.5","29.4","23.1","14.3","5.9",".","0.4","0.4",".",".",".",".",".",".",".","."
"Contemporary Topics","365
002","7","3.429","42.9",".","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399
158","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410
001","38","3.316","31.6","26.3","23.7","10.5","7.9",".",".",".",".",".",".",".",".",".",".","."
"","420
001","60","3.342","23.3","36.7","28.3","8.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"","420
002","62","3.218","19.4","32.3","29.0","11.3","8.1",".",".",".",".",".",".",".",".",".",".","."
"Investmt Bankg & Capital Mrkts","Course Total","122","3.279","21.3","34.4","28.7","9.8","5.7",".",".",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445
001","13","3.423","38.5","23.1","30.8",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Finance","457
001","22","3.432","40.9","31.8","22.7",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Applied Equity Mkts Research 1","535
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
001","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602
002","20","3.474","25.0","40.0","30.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Wealth Mgmt&Financial Planning","Course Total","43","3.714","55.8","27.9","14.0",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"","635
001","7","3.643","71.4","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
