"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","","274","3.378","23.0","44.5","17.9","8.0","3.6","0.4",".","2.6",".",".",".",".",".",".",".","."
"","102
001","","42","3.829","76.2","14.3","2.4","4.8",".",".",".","2.4",".",".",".",".",".",".",".","."
"","102
002","","11","3.455","45.5","36.4","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","Course Total","","53","3.750","69.8","18.9","3.8","3.8",".","1.9",".","1.9",".",".",".",".",".",".",".","."
"","172
001","","15","3.321","33.3","20.0","13.3","26.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"","172
002","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","Course Total","","24","3.478","45.8","20.8","8.3","20.8",".",".",".",".",".",".",".",".","4.2",".",".","."
"American Indian History","190
001","","34","3.676","73.5","11.8","8.8",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Second Semester Ojibwe","302
001","","13","3.462","61.5",".","30.8",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","304
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","304
003","","7","3.214","71.4",".",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","304
004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Beginner Indigenous Lang II","Course Total","","15","3.607","80.0",".",".","6.7",".",".","6.7",".",".",".",".",".",".",".","6.7","."
"Interm. Indigenous Language","403
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sp. Topics in Amer Ind Std","425
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","450
006","","29","3.885","82.8",".","3.4",".","3.4",".",".","6.9",".",".",".",".","3.4",".",".","."
"Ethnobotany","474
001","","15","3.633","60.0","13.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work in Am Indian Communit","636
001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"140
AMER IND","Dept. Total","","471","3.514","42.7","30.6","13.8","6.6","2.5","0.6","0.4","2.1",".",".",".",".","0.4",".","0.2","."
