"LIBRARY & INFORMATION STUD Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","",""
"Info Perspectives, Contexts","Course Total","","16","3.688","87.5",".","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","603
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
002","","26","3.865","80.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research and Assessment","Course Total","","48","3.927","89.6","6.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"User Experience Design 2","Course Total","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Lit for Youth","629
001","","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","631
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","631
002","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit and Resources for Youth","Course Total","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
002","","22","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","635
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","Course Total","","29","3.931","93.1",".","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
004","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
005","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
011","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
012","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Library&Informatn St","Course Total","","67","3.926","88.1","7.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
002","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Tools, Trends, Debates","Course Total","","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Info Architecture","Course Total","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
001","","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","651
002","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","Course Total","","25","3.720","60.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","654
002","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Services Management","Course Total","","26","3.942","92.3","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collection Management","655
001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","661
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 283 of 476",""
