"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","70","3.022","20.0","25.7","22.9","15.7","8.6","2.9","2.9",".",".",".",".",".",".","1.4",".","."
"Physiology","335
001","381","3.076","37.0","10.2","22.0","8.7","15.0","5.2","1.6",".",".",".",".",".",".","0.3",".","."
"","337
001","172","2.962","26.2","20.3","19.2","9.3","16.3","5.2","2.9","0.6",".",".",".",".",".",".",".","."
"","337
002","207","3.034","30.0","18.8","18.4","12.1","11.6","4.8","2.9","1.0",".",".",".",".","0.5",".",".","."
"Human Anatomy","Course Total","379","3.001","28.2","19.5","18.7","10.8","13.7","5.0","2.9","0.8",".",".",".",".","0.3",".",".","."
"","338
001","32","3.578","50.0","31.3","6.3","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"","338
002","32","3.565","46.9","28.1","15.6",".","6.3",".",".",".",".",".",".",".","3.1",".",".","."
"","338
003","32","3.500","53.1","12.5","21.9","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","338
004","32","3.281","31.3","25.0","31.3",".","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"","338
005","24","3.250","33.3","29.2","8.3","12.5","16.7",".",".",".",".",".",".",".",".",".",".","."
"","338
006","15","2.733","33.3","6.7","13.3","6.7","26.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","338
007","31","3.532","51.6","12.9","29.0","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"","338
008","27","3.115","33.3","18.5","22.2","3.7","11.1","3.7","3.7","3.7",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","225","3.370","42.7","21.3","19.1","4.9","8.9","1.3","0.9","0.4",".",".",".",".","0.4",".",".","."
"","399
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund of Human Physiology","435
001","94","3.064","40.4","9.6","19.1","7.4","16.0","3.2","4.3",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"146
ANAT&PHY","Dept. Total","1167","3.089","35.5","16.1","19.9","8.8","12.9","4.0","2.1","0.3",".",".",".",".","0.2","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.667",".","22.2","55.6",".","11.1",".","11.1",".",".",".",".",".",".",".",".","."
"Sophomore","","102","2.789","20.6","15.7","19.6","13.7","17.6","9.8","2.9",".",".",".",".",".",".",".",".","."
"Junior","","351","2.987","30.8","15.4","20.8","8.0","17.4","4.8","2.8",".",".",".",".",".",".",".",".","."
"Senior","","679","3.198","41.1","16.2","19.0","8.5","10.2","2.9","1.6","0.1",".",".",".",".","0.3",".",".","."
"Undergraduates","","1141","3.084","35.8","16.0","19.9","8.8","13.1","4.1","2.2","0.1",".",".",".",".","0.2",".",".","."
"Special","","23","3.255","13.0","26.1","21.7","13.0","4.3",".",".","13.0",".",".",".",".",".","8.7",".","."
"Graduate","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","1167","3.089","35.5","16.1","19.9","8.8","12.9","4.0","2.1","0.3",".",".",".",".","0.2","0.2",".","."
