"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","100","3.140","24.0","20.0","33.0","14.0","5.0","4.0",".",".",".",".",".",".",".",".",".","."
"","300
002","113","3.013","17.7","19.5","33.6","15.0","10.6","2.7","0.9",".",".",".",".",".",".",".",".","."
"","300
003","108","2.963","16.7","13.9","43.5","4.6","19.4",".","1.9",".",".",".",".",".",".",".",".","."
"","300
004","94","2.926","14.9","18.1","28.7","16.0","21.3","1.1",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","415","3.011","18.3","17.8","34.9","12.3","14.0","1.9","0.7",".",".",".",".",".",".",".",".","."
"Principles & Tech-Qual Mgmt","351
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","25","3.840","76.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","26","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","423
001","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","427
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","427
002","10","3.700","60.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","Course Total","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","452
001","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","452
002","19","3.684","57.9","21.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","39","3.744","64.1","20.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
001","27","3.722","48.1","48.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","35","3.457","31.4","48.6","14.3","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Operations Analytics","Course Total","62","3.573","38.7","48.4","9.7","1.6",".",".","1.6",".",".",".",".",".",".",".",".","."
"Product Management","701
001","47","3.745","48.9","51.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Strategy","702
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Supply Chain Analytics","714
001","33","3.712","45.5","51.5","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Global Sourcing","724
001","27","3.333","18.5","40.7","33.3","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Info Tech in Supply Chains","727
001","33","3.813","63.6","30.3","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","732
020","36","3.681","52.8","30.6","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
021","35","3.457","28.6","34.3","37.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
050","63","3.683","55.6","27.0","15.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","732
051","40","3.488","42.5","12.5","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","174","3.592","46.6","25.9","27.0","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","752
050","63","3.563","42.9","33.3","19.0","3.2","1.6",".",".",".",".",".",".",".",".",".",".","."
"","752
051","41","3.756","61.0","29.3","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Project Management","Course Total","104","3.639","50.0","31.7","15.4","1.9","1.0",".",".",".",".",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","38","3.803","68.4","23.7","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing by Design","760
050","49","3.704","55.1","32.7","10.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
040","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
036","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","Course Total","3","***","","","","","","","","","","","","","","","",""
