"CHICANA/O & LATINA/O STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","",""
"","102
001","","18","3.833","83.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","7","2.786","14.3","14.3","14.3","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","Course Total","","25","3.540","64.0","12.0","4.0","8.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"The U.S. West Since 1850","152
001","","12","3.864","83.3",".",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"","201
001","","41","3.833","73.2","12.2","9.8",".",".",".",".",".",".",".",".",".","2.4",".","2.4","."
"","201
002","","39","3.718","59.0","28.2","10.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chicana/o&Latina/o St","Course Total","","80","3.776","66.3","20.0","10.0","1.3",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"Chicana/o and Latina/o History","301
001","","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Mexican-American Politics","302
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Latinx Feminisms","308
001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
001","","24","3.652","50.0","29.2","12.5","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"","330
005","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","330
007","","7","3.833","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","330
009","","26","3.740","65.4","11.5","19.2",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Topics in Chicano/a Studies","Course Total","","79","3.776","68.4","13.9","12.7","1.3",".",".",".",".",".",".",".",".","3.8",".",".","."
"Race, Ethnicity, and Media","347
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443
001","","12","3.045","8.3","58.3","8.3",".",".","16.7",".",".",".",".",".",".",".",".","8.3","."
"Latinx Digital Publics","520
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin@ Mental Health","525
001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Adv Topc-Chicana/o&Latina/o St","530
001","","8","3.375","62.5",".",".","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"","699
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
