"L&S","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","Dept. Total","344","3.518","50.0","13.7","8.4","5.8","2.9","2.3","",".","1.2","",".","13.4","0.3","",".","1.2",".","0.6","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","2.789","18.2","22.7","9.1","4.5","18.2","13.6","",".",".","",".","13.6",".","",".",".",".",".","."
"Sophomore","","85","3.449","37.6","15.3","12.9","5.9","2.4","2.4","",".",".","",".","23.5",".","",".",".",".",".","."
"Junior","","91","3.538","48.4","15.4","11.0","7.7","1.1","1.1","",".",".","",".","12.1","1.1","",".","2.2",".",".","."
"Senior","","130","3.670","62.3","11.5","4.6","5.4","2.3","1.5","",".",".","",".","9.2",".","",".","1.5",".","0.8","0.8"
"Undergraduates","","328","3.501","49.1","14.3","8.8","6.1","3.0","2.4","",".",".","",".","14.0","0.3","",".","1.2",".","0.3","0.3"
"Special","","11","4.000","54.5",".",".",".",".",".","",".","36.4","",".",".",".","",".",".",".","9.1","."
"Graduate","","4","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","Dept. Total","344","3.518","50.0","13.7","8.4","5.8","2.9","2.3","",".","1.2","",".","13.4","0.3","",".","1.2",".","0.6","0.3"
