"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","7","4.000","85.7",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","14.3","."
"Senior","","20","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","30","4.000","96.7",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.3","."
"Special","","5","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","70","3.970","58.6","1.4","2.9","",".","",".","",".","",".","37.1","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","28","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","17","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","45","",".",".",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
