"ATMOSPHERIC & OCEANIC SCIE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","",""
"","100","001","","182","2.713","12.6","12.6","26.4","24.7","12.1","5.5","3.8",".",".",".",".",".",".",".","2.2","."
"","100","002","","197","3.682","58.9","23.4","12.2","3.0","1.5",".",".","1.0",".",".",".",".",".",".",".","."
"Weather and Climate","","Course Total","","379","3.220","36.7","18.2","19.0","13.5","6.6","2.6","1.8","0.5",".",".",".",".",".",".","1.1","."
"Weather and Climate","101","001","","86","2.820","22.1","11.6","20.9","24.4","10.5","8.1","2.3",".",".",".",".",".",".",".",".","."
"Survey of Oceanography","105","001","","29","3.293","34.5","34.5","6.9","17.2","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"Earth Water:Nat Sci&Hum Use","132","001","","25","3.600","64.0","20.0","8.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","","18","3.333","38.9","16.7","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"Dynamic-Atmosphere&Ocean II","311","001","","21","3.800","71.4","19.0",".",".","4.8",".",".",".",".",".",".",".",".","4.8",".","."
"Polar Regions","322","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","","14","3.400","28.6","7.1","28.6","7.1",".",".",".","28.6",".",".",".",".",".",".",".","."
"Physics-Atmosphere&Ocean II","340","001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Air Quality","355","001","","17","3.324","29.4","35.3","17.6","5.9","11.8",".",".",".",".",".",".",".",".",".",".","."
"Topics in Meteorology","401","001","","15","3.333","13.3","40.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meteorological Measurements","404","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"AOS Senior Capstone Seminar","405","001","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Syn Lab II-Mesoscale Meteor","453","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioclimatology","520","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climatological Analysis","575","001","","23","3.738","60.9","17.4","8.7","4.3",".",".",".",".",".",".",".",".","8.7",".",".","."
"Geophys Fluid Dynamics II","611","001","","13","3.625","46.2","23.1","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Radiatn in Atmosphere&Ocean","640","001","","22","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Mesoscale Meteorology","753","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Theoretical Meteor","801","001","","10","3.643","40.0","10.0","20.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","990","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","037","","11","",".",".",".",".",".",".",".","27.3",".",".",".","72.7",".",".",".","."
"","990","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 297 of 476",""
