"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"","307","003","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","004","","15","3.800","80.0","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","307","005","","15","3.733","86.7",".",".",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","307","006","","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","","Course Total","","88","3.841","88.6","4.5","2.3",".","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"Structure of English","314","001","","24","3.875","83.3","12.5",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Language, Race, and Identity","319","001","","37","3.875","83.8","8.1","2.7",".","2.7",".",".",".",".",".",".",".","2.7",".",".","."
"Child Language","320","001","","28","3.732","71.4","10.7","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"18th-Century English Novel","336","001","","28","3.696","60.7","25.0","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Nineteenth-Century Novel","345","001","","30","3.583","66.7","10.0","16.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"","350","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","350","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African Diaspora Literature","374","001","","23","3.370","30.4","30.4","26.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Lit of Migration and Diaspora","375","001","","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Composition","400","001","","20","3.737","55.0","30.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"","408","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","408","002","","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Fiction","","Course Total","","30","3.967","96.7",".","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","409","002","","15","3.433","80.0","6.7",".",".",".",".","13.3",".",".",".",".",".",".",".",".","."
"","409","003","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Poetry","","Course Total","","30","3.683","83.3","10.0",".",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"Creative Writing: Playwriting","410","001","","14","3.429","78.6",".",".",".","14.3",".","7.1",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","411","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Spread of English","414","001","","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Introduction to TESOL Methods","415","001","","20","3.658","60.0","20.0","5.0","5.0","5.0",".",".",".",".",".",".",".","5.0",".",".","."
"Topics-English Lang & Linguis","420","001","","17","3.912","94.1",".",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Figure(s) in Lit before 1800","422","001","","24","3.854","91.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Medieval Drama","424","001","","19","3.789","73.7","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Spenser","433","001","","25","3.820","88.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Topic in 18th-Century Lit","438","001","","27","3.815","70.4","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"James Joyce","454","001","","16","3.594","43.8","43.8","6.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topic in American Lit","457","001","","28","3.964","96.4",".","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461","001","","15","3.567","73.3","6.7","13.3",".",".",".","6.7",".",".",".",".",".",".",".",".","."
"","461","002","","27","3.944","92.6","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461","003","","18","3.556","66.7","5.6","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","","Course Total","","60","3.733","80.0","5.0","10.0","1.7",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"Topic in Contemporary Lit","474","001","","28","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comedy as Genre","475","001","","25","3.340","24.0","44.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
