"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","95","3.234","34.7","22.1","17.9","10.5","5.3","6.3",".","1.1",".",".",".",".","2.1",".",".","."
"Intro to the Middle East","266
001","","20","3.676","50.0","20.0","10.0","5.0",".",".",".","15.0",".",".",".",".",".",".",".","."
"Arabic Lit & Cinema","302
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
003","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
005","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
007","","7","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","310
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
009","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","310
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","310
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Learning Community Smr","Course Total","","48","",".",".",".",".",".",".",".",".",".","95.8","2.1",".",".",".","2.1","."
"Contemporary Issues-Intl St","320
001","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"East Asia & The US Since 1899","332
001","","9","2.889","11.1","33.3","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335
001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Growth&Develpmt Global Econ","374
001","","16","3.433","37.5","25.0","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".","6.3"
"The Cold War","375
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
001","","22","3.932","90.9","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
003","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","36","3.958","94.4","2.8","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","","16","3.533","50.0","18.8","12.5","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"","403
002","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture in Age of Globalizatn","Course Total","","24","3.652","62.5","12.5","12.5","4.2","4.2",".",".",".",".",".",".",".","4.2",".",".","."
"","502
00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","502
00B","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdy Abrd Tpcs:Global Econ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Women's Global Health","535
001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","17","3.529","64.7",".","17.6","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Global Security","Course Total","","24","3.646","70.8","4.2","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Politics&Policy in Global Econ","602
001","","12","3.667","58.3","33.3",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","603
001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","603
002","","6","3.583","66.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics:Culture-Age of Globlztn","Course Total","","19","3.833","78.9","10.5",".",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"Senior Thesis","692
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
