"Engineering Analysis II","548
001","","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics I","568
001","","2","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research Pract-Engr Physics II","569
001","","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"347
E P","Dept. Total","","51","3.443","60.8","15.7","9.8","7.8","2.0","2.0","",".","",".","",".",".","",".","",".","2.0",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","","","5","***","","","","","","","","","","","","",".","",".","",".","20.0",".",".","."
"Senior","","","37","3.459","64.9","13.5","10.8","8.1",".","2.7","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","","43","3.463","62.8","14.0","11.6","7.0",".","2.3","",".","",".","",".",".","",".","",".","2.3",".",".","."
"Special","","","2","***","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","6","3.857","66.7","33.3",".",".",".",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","51","3.443","60.8","15.7","9.8","7.8","2.0","2.0","",".","",".","",".",".","",".","",".","2.0",".",".","."
