"CURRICULUM AND INSTRUCTIO Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Digital Media and Literacy","209","001","51","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Aspects Teach, Schl, Educ","240","001","73","3.932","93.2",".","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp issues in K-12 Schools","276","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Videogames & Learning","277","001","182","3.766","82.4","8.8","3.8","0.5","1.1","1.1","2.2",".",".",".",".",".",".",".",".","."
"Teaching Reading and Writing","318","001","120","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PCK for Teaching Elem Math 2","320","001","112","3.770","74.1","11.6","10.7",".","1.8","0.9",".",".",".",".",".",".","0.9",".",".","."
"Teaching Artist Practicum","329","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Language of Schooling","338","001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Fndtns-Lrng & Dev","339","001","41","3.950","87.8","9.8",".",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"","340","001","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340","002","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340","003","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","340","004","23","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Elementary Educ Practicum I","","Course Total","97","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Game Design I","357","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internationalizing Ed Knowldg","366","001","15","3.300","33.3","33.3","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"","372","001","24","3.913","87.5",".","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"","372","002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","003","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372","004","13","3.875","69.2","23.1",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","372","005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Science","","Course Total","96","3.957","91.7","4.2","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Gen Ed Pract-Diverse Learners","374","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Secondry Schl Math II","394","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Education for Sustainable Cmty","405","001","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Game Design II","432","001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","454","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Middle School","","Course Total","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458","001","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459","001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","463","001","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463","003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","463","004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar - Elementary Education","","Course Total","89","3.975","97.8",".","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
