"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","172","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","175","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","176","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","186","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","201","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","286","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Applied Math-2","704","001","","33","3.969","93.9",".","3.0",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Methods of Computatnl Math II","715","001","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Partial Differential Equatn","720","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Complex Analysis","722","001","","28","3.643","71.4",".","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Secnd Crse in Real Analysis","725","001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integer Optimization","728","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability II","734","001","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","742","001","","33","3.781","75.8","3.0","15.2","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"Homological Algebra","750","001","","21","3.667","71.4",".","23.8",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology II","752","001","","18","3.722","72.2","11.1","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Ergodic Theory","758","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differentiable Manifolds","761","001","","27","3.308","25.9","29.6","29.6",".","11.1",".",".",".",".",".",".",".","3.7",".",".","."
"Intro to Algebraic Geometry","764","001","","32","3.844","84.4","3.1","9.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773","001","","9","3.167","55.6","11.1",".",".","22.2","11.1",".",".",".",".",".",".",".",".",".","."
"Masters Thesis","790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Dynamical Systems","807","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Harmonic Analysis","828","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Probability","833","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Combinatorics","846","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Algebraic Geom","863","001","","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Math Data Science","888","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921","001","","19","3.967","89.5","5.3",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"","921","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Analysis","","Course Total","","24","3.972","91.7","4.2",".",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","941","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
