"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","117","3.668","58.1","23.9","11.1","4.3","1.7",".",".",".",".",".",".",".","0.9",".",".","."
"","301
002","111","3.800","76.6","14.4","2.7","3.6","0.9","0.9",".","0.9",".",".",".",".",".",".",".","."
"","301
003","115","3.852","81.7","11.3","3.5","2.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"How People Learn","Course Total","343","3.773","72.0","16.6","5.8","3.5","1.2","0.3",".","0.3",".",".",".",".","0.3",".",".","."
"Human Dev-Infancy&Childhood","320
001","108","3.704","61.1","25.0","9.3","2.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"Human Develop-Adolescence","321
001","95","3.125","17.9","25.3","32.6","11.6","6.3","3.2",".","2.1",".",".",".",".","1.1",".",".","."
"Mind, Brain and Education","326
001","92","3.378","29.3","34.8","16.3","15.2","2.2",".",".","1.1",".",".",".",".","1.1",".",".","."
"Hum Devel Chldhood-Adolescn","331
001","104","3.707","67.3","21.2","3.8","4.8","1.0","1.9",".",".",".",".",".",".",".",".",".","."
"","470
013","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
025","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
028","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
029","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","470
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
077","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Experience Ed Psych","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
001","43","3.884","93.0","2.3",".","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"","506
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","506
003","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Issues in Ed Psych","Course Total","77","3.922","94.8","1.3","1.3","1.3",".","1.3",".",".",".",".",".",".",".",".",".","."
"Learning Analytics Theory&Prac","525
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitative Ethnography","551
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Found of Instruct Coaching","640
001","25","3.920","92.0","4.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Instruct Coaching Practicum","643
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone","695
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Research in Ed Psyc II","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
005","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
009","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
016","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","711
017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","711
021","19","3.917","78.9","15.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"","711
022","5","***","","","","","","","","","",".",".",".",".",".",".","."
