"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"The Information Society","201
001","134","3.806","84.3","8.2","3.0","0.7","1.5","0.7","1.5",".",".",".",".",".",".",".",".","."
"Divides&Differences-Multicultr","202
001","281","3.858","88.3","5.0","3.2","0.7","1.8","0.4","0.7",".",".",".",".",".",".",".",".","."
"History and Future of Books","350
001","26","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Intro to Digital Information","351
001","142","3.687","76.8","9.9","4.9","2.1","2.1","2.8","1.4",".",".",".",".",".",".",".",".","."
"","399
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Research","Course Total","3","***","","","","","","","","","","","","","","","",""
"Data Storytelling","407
001","25","3.479","72.0",".","8.0","4.0","4.0","4.0","4.0",".",".",".",".",".","4.0",".",".","."
"Concepts of Data & Info Scienc","440
001","31","3.655","77.4","6.5","3.2",".",".",".","6.5","3.2",".",".",".",".","3.2",".",".","."
"","444
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","444
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tech and Development Africa","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","461
001","98","3.832","82.7","10.2","4.1","1.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","461
002","196","3.949","92.9","6.1","0.5",".",".","0.5",".",".",".",".",".",".",".",".",".","."
"Data Ethics and Policy","Course Total","294","3.902","89.5","7.5","1.7","0.3",".","1.0",".",".",".",".",".",".",".",".",".","."
"Applied Database Design","464
001","27","3.500","59.3","14.8","7.4",".","11.1","3.7",".",".",".",".",".",".","3.7",".",".","."
"Interaction Design Studio","470
001","34","3.632","55.9","26.5","8.8","5.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","500
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","500
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","500
004","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"Code and Power","Course Total","26","3.808","92.3",".","3.8",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","501
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
003","27","3.981","92.6","3.7",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"","501
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Text Mining","Course Total","43","3.988","95.3","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"","510
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
003","47","3.766","80.9","8.5","6.4",".","2.1",".","2.1",".",".",".",".",".",".",".",".","."
"","510
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
005","11","3.800","63.6","18.2","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Human Factors in Infosec","Course Total","62","3.787","79.0","9.7","6.5",".","1.6",".","1.6",".",".",".",".",".","1.6",".",".","."
"","517
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
007","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Health","Course Total","19","3.579","63.2","10.5","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","601
001","6","3.333","83.3",".",".",".",".",".","16.7",".",".",".",".",".",".",".",".","."
"","601
002","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 282 of 476",""
