"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Nrsg Hnrs Rsrch Sem
679","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","20","3.966","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Nursing
698","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","2","***","","","","","","","","","","","","","","","",""
"703","001","","39","3.756","76.9","15.4","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"703","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Hlth Care & Public Policy","Course Total","","43","3.779","79.1","14.0","2.3","2.3",".",".","2.3",".",".",".",".",".",".",".",".","."
"Hlth Sys Ldrship Practicum II
713","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Health Sys Ldrshp & Innov
714","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Population Health Practicum II
721","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pop Health Theory & Methods II
724","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"727","010","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","020","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"727","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"727","060","","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract II","Course Total","","34","3.924","82.4","14.7",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"729","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"729","020","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","021","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"729","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"729","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","34","3.939","94.1","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
