"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","311
001","20","3.750","80.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","311
002","19","3.632","68.4","10.5","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"","311
003","19","3.789","73.7","21.1",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","311
004","18","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","311
005","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","311
006","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","19","3.816","73.7","15.8","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","134","3.743","71.6","15.7","6.7","1.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"","319
001","24","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","44","3.875","84.1","6.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
001","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
002","11","3.400","63.6",".","9.1",".","9.1","9.1",".",".",".",".",".",".",".","9.1",".","."
"Spanish Phonetics","Course Total","21","3.575","66.7","4.8","14.3",".","4.8","4.8",".",".",".",".",".",".",".","4.8",".","."
"Survey of Early Hispanic Lit","322
001","24","3.457","45.8","12.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".","4.2",".","."
"Survey of Modern Spanish Lit","324
001","24","3.896","87.5","4.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","23","3.870","82.6","8.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Conversation","Course Total","47","3.904","87.2","6.4","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","326
002","8","2.875","25.0",".","37.5",".","37.5",".",".",".",".",".",".",".",".",".",".","."
"Survey of Spanish American Lit","Course Total","25","3.500","52.0","20.0","16.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to Spanish Linguistics","327
001","9","3.389","33.3","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","359
001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","359
002","12","3.500","58.3","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"Spanish Business Area Study","Course Total","35","3.800","80.0","14.3",".","2.9",".","2.9",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","21","3.833","90.5","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Lit de la Edad Med Castellana","414
001","22","3.690","59.1","18.2","13.6","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Advanced Spanish Phonetics","420
001","23","3.909","91.3",".",".",".","4.3",".",".",".",".",".",".",".","4.3",".",".","."
"Intro to Romance Languages","429
001","35","3.600","45.7","28.6","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cervantes","435
001","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culture and the Environment","445
001","30","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Spanish Linguistics","446
001","22","3.523","63.6","13.6","4.5","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","468
001","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hispanic Screen Studies","472
001","22","3.048","13.6","18.2","40.9","9.1","13.6",".",".",".",".",".",".",".","4.5",".",".","."
"Latin Am Perf/Visual Studies","480
001","29","3.259","27.6","27.6","24.1","10.3","10.3",".",".",".",".",".",".",".",".",".",".","."
"Topics-Hispanic Linguistics","630
001","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
