"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"History of Biology","132","001","","29","3.483","31.0","48.3","17.2",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Bodies, Diseases, and Healers","212","001","","61","3.746","75.4","14.8","4.9",".","3.3",".","1.6",".",".",".",".",".",".",".",".","."
"Sci Ethics Dis of Animal Rsrch","370","001","","18","3.706","50.0","33.3","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Dev Public Health-America","509","001","","22","3.667","59.1","18.2","13.6",".","4.5",".",".",".",".",".",".",".",".",".","4.5","."
"Health and the Humanities","525","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of the (American) Body","532","001","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Issues in Health Care","558","001","","36","3.618","33.3","52.8","5.6","2.8",".",".",".","2.8",".",".",".",".","2.8",".",".","."
"Development of Pub Health-Amer","709","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Bioethics","730","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","740","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","740","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Narrative Med & Public Health","","Course Total","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Ethics in Public Health","741","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Med Humanities","744","007","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clinical Ethics","745","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Race,Science&Med:Past&Present","746","004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Migration and Global Health","750","012","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
