"","990
094","3","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
095","4","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
098","2","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","58","",".",".",".",".","",".",".","",".","58.6","",".",".","",".","32.8",".",".","8.6","."
"621
MED PHYS","Dept. Total","261","3.701","53.3","14.9","7.3","0.4","",".","0.4","",".","13.0","",".",".","",".","7.3","1.1",".","2.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","9","4.000","88.9",".",".",".","",".",".","",".",".","",".",".","",".",".",".",".","11.1","."
"Senior","","17","3.513","58.8","11.8","23.5",".","",".","5.9","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","27","3.669","70.4","7.4","14.8",".","",".","3.7","",".",".","",".",".","",".",".",".",".","3.7","."
"Graduate","","234","3.706","51.3","15.8","6.4","0.4","",".",".","",".","14.5","",".",".","",".","8.1","1.3",".","2.1","."
"","Dept. Total","261","3.701","53.3","14.9","7.3","0.4","",".","0.4","",".","13.0","",".",".","",".","7.3","1.1",".","2.3","."
