"TERM : 1234","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2022-2023","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"URBAN AND REGIONAL PLANNI Section","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
944
URB R PL","340","3.944","89.4","5.9","1.2","",".","",".","",".","0.3","2.4","",".",".","",".","",".","0.9",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","51","3.880","90.2","3.9","2.0","",".","",".","",".","2.0",".","",".",".","",".","",".","2.0",".",".","."
"Sophomore","53","3.961","92.5","7.5",".","",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","44","3.935","88.6","9.1","2.3","",".","",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","58","3.964","93.1","3.4","1.7","",".","",".","",".",".",".","",".",".","",".","",".","1.7",".",".","."
"Undergraduates","206","3.937","91.3","5.8","1.5","",".","",".","",".","0.5",".","",".",".","",".","",".","1.0",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","132","3.957","86.4","6.1","0.8","",".","",".","",".",".","6.1","",".",".","",".","",".","0.8",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Dept. Total","340","3.944","89.4","5.9","1.2","",".","",".","",".","0.3","2.4","",".",".","",".","",".","0.9",".",".","."
