"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","144","3.229","20.8","37.5","16.7","3.5","6.9","2.1","2.1","10.4",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","102
001","101","3.542","45.5","14.9","8.9","8.9","4.0",".",".","17.8",".",".",".",".",".",".",".","."
"Hist:The Univ in the West","107
001","12","3.500","50.0","25.0","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to US History","109
001","21","3.690","38.1","61.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119
001","74","3.492","48.6","14.9","5.4","4.1","2.7",".","4.1","18.9",".",".",".",".","1.4",".",".","."
"Europe&Mod World 1815-On","120
001","88","3.583","34.1","27.3","9.1","1.1","3.4",".",".","22.7",".",".",".",".","1.1","1.1",".","."
"Intro to World History","130
001","143","3.500","58.0","9.1","11.2","2.8","2.1","2.1","3.5","11.2",".",".",".",".",".",".",".","."
"History of Biology","132
001","23","3.370","39.1","26.1","8.7","21.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","21","3.595","71.4","14.3",".","9.5",".",".","4.8",".",".",".",".",".",".",".",".","."
"The U.S. West Since 1850","152
001","107","3.574","49.5","11.2","9.3","0.9","0.9","0.9","2.8","21.5",".",".",".",".","1.9","0.9",".","."
"American Indian History","190
001","33","3.648","60.6","9.1","3.0",".","6.1","3.0",".","18.2",".",".",".",".",".",".",".","."
"","200
001","41","3.486","46.3","26.8","9.8","2.4",".",".","4.9","9.8",".",".",".",".",".",".",".","."
"","200
002","80","3.506","68.8","8.8","3.8","8.8","3.8",".","5.0","1.3",".",".",".",".",".",".",".","."
"","200
003","75","3.493","46.7","25.3","16.0","1.3","6.7",".","1.3","2.7",".",".",".",".",".",".",".","."
"","200
004","73","3.699","82.2","2.7","5.5","2.7","2.7","2.7","1.4",".",".",".",".",".",".",".",".","."
"","200
005","45","3.628","71.1","2.2",".","4.4","4.4","2.2","2.2",".",".",".",".",".","4.4","8.9",".","."
"","200
006","43","3.167","32.6","25.6","20.9","2.3","9.3","2.3","4.7",".",".",".",".",".",".","2.3",".","."
"","200
007","48","3.191","52.1","12.5","2.1","12.5","8.3","6.3","4.2",".",".",".",".",".",".","2.1",".","."
"Historical Studies","Course Total","405","3.477","59.3","14.1","8.1","4.9","4.9","1.7","3.2","1.7",".",".",".",".","0.5","1.5",".","."
"","201
001","17","3.735","64.7","29.4",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
002","45","3.756","77.8","13.3","4.4",".","2.2",".","2.2",".",".",".",".",".",".",".",".","."
"","201
003","16","3.531","56.3","31.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","201
004","15","3.533","46.7","20.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","45","2.922","8.9","24.4","40.0","13.3","8.9",".","4.4",".",".",".",".",".",".",".",".","."
"","201
006","14","2.893","64.3","7.1",".",".",".","7.1","21.4",".",".",".",".",".",".",".",".","."
"","201
007","21","3.595","57.1","23.8","4.8","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"","201
008","38","3.556","52.6","23.7","10.5","2.6","2.6",".","2.6",".",".",".",".",".","5.3",".",".","."
"","201
010","15","2.893","20.0","26.7",".","6.7","40.0",".",".",".",".",".",".",".","6.7",".",".","."
"","201
012","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
014","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","264","3.445","50.8","22.0","12.9","4.5","5.3","0.4","3.0",".",".",".",".",".","1.1",".",".","."
"Islam Wrld:MidEast,500-1500","205
001","39","3.436","28.2","35.9","33.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221
001","66","3.414","43.9","25.8","10.6","6.1","7.6","3.0",".","3.0",".",".",".",".",".",".",".","."
"History of Race and Ethnicity","227
001","24","3.848","75.0","12.5","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Transnational/Comp Hstry (Hum)","229
001","87","3.726","77.0","3.4","5.7","8.0","1.1",".","1.1","3.4",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","45","3.863","73.3","8.9","4.4","2.2",".",".",".","11.1",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253
001","16","3.563","75.0","12.5",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255
001","29","3.273","24.1","6.9","31.0","13.8",".",".",".",".",".",".",".",".",".","24.1",".","."
"Latin America-Introduction","260
001","19","3.368","47.4","26.3","10.5","5.3","5.3",".","5.3",".",".",".",".",".",".",".",".","."
