"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"","564
003","47","2.728","10.6","17.0","25.5","19.1","14.9","10.6",".",".",".",".",".",".","2.1",".",".","."
"Retail Financial Analysis","Course Total","128","3.008","25.0","21.9","18.0","15.6","10.2","8.6",".",".",".",".",".",".","0.8",".",".","."
"Product Development Strategies","567
001","59","3.771","74.6","13.6","5.1","5.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Policy","579
001","26","3.462","38.5","30.8","19.2","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
001","19","3.789","84.2","5.3",".","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"Retailing Internship","603
001","50","3.680","66.0","10.0","18.0","6.0",".",".",".",".",".",".",".",".",".",".",".","."
"","635
001","31","2.952","6.5","29.0","32.3","19.4","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"","635
002","41","3.646","53.7","34.1","4.9","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"","635
004","43","3.195","27.9","18.6","23.3","14.0","11.6",".",".",".",".",".",".",".","2.3",".","2.3","."
"","635
104","15","3.067","46.7",".","20.0","13.3","13.3",".","6.7",".",".",".",".",".",".",".",".","."
"Estate Plng for Fincl Planners","Course Total","130","3.266","33.1","23.8","19.2","11.5","9.2","0.8","0.8",".",".",".",".",".","0.8",".","0.8","."
"","657
001","65","3.431","13.8","58.5","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","66","3.808","71.2","18.2","7.6","1.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"","657
003","64","3.453","26.6","42.2","28.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","657
004","65","3.792","70.8","20.0","6.2","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","260","3.622","45.8","34.6","17.3","1.5","0.4",".",".",".",".",".",".",".","0.4",".",".","."
"","675
001","42","3.571","31.0","61.9","4.8",".",".","2.4",".",".",".",".",".",".",".",".",".","."
"","675
002","41","3.659","61.0","31.7",".","2.4",".","4.9",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","Course Total","83","3.614","45.8","47.0","2.4","1.2",".","3.6",".",".",".",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Advanced Consumer Behavior","888
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
076","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999
020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","4","***","","","","","","","","","","","","","","","",""
